date,Empirical # of diagnosed cases,Model (FoI=1) diagnosed cases,Model (FoI=1) incidence,Model (FoI=1) symp,Model (FoI=1) R_e,Model (FoI=1.25) diagnosed cases,Model (FoI=1.25) incidence,Model (FoI=1.25) symp,Model (FoI=1.25) R_e,Model (FoI=1.5) diagnosed cases,Model (FoI=1.5) incidence,Model (FoI=1.5) symp,Model (FoI=1.5) R_e,Model (FoI=2) diagnosed cases,Model (FoI=2) incidence
10/9/22 - 10/15/22,27,51,41,171,0.6,51,41,171,0.6,51,41,171,0.6,51,41
10/16/22 - 10/22/22,23,50,33,139,0.578947368,50,33,139,0.578947368,50,33,139,0.578947368,50,33
10/23/22 - 10/29/22,17,33,19,114,0.410071942,33,19,114,0.410071942,33,19,114,0.410071942,33,19
10/30/22 - 11/5/22,12,32,17,97,0.447368421,32,17,97,0.447368421,32,17,97,0.447368421,32,17
11/6/22 - 11/12/22,8,23,8,66,0.24742268,23,8,66,0.24742268,23,8,66,0.24742268,23,8
11/13/22 - 11/19/22,7,18,8,47,0.363636364,18,8,47,0.363636364,18,8,47,0.363636364,18,8
11/20/22 - 11/26/22,4,9,7,35,0.446808511,9,7,35,0.446808511,9,7,35,0.446808511,9,7
11/27/22 - 12/3/22,14,8,8,28,0.685714286,8,8,28,0.685714286,8,8,28,0.685714286,8,8
12/4/22 - 12/10/22,5,7,3,22,0.321428571,7,3,22,0.321428571,7,3,22,0.321428571,7,3
12/11/22 - 12/17/22,6,6,4,16,0.545454545,6,4,16,0.545454545,6,4,16,0.545454545,6,4
12/18/22 - 12/24/22,2,2,1,13,0.1875,2,1,13,0.1875,2,1,13,0.1875,2,1
12/25/22 - 12/31/22,4,6,3,8,0.692307692,6,3,8,0.692307692,6,3,8,0.692307692,6,3
1/1/23 - 1/7/23,2,2,1,6,0.375,2,1,6,0.375,2,1,6,0.375,2,1
1/8/23 - 1/14/23,3,2,1,6,0.5,2,1,6,0.5,2,1,6,0.5,2,1
1/15/23 - 1/21/23,1,1,0,7,0,1,0,7,0,1,0,7,0,1,0
1/22/23 - 1/28/23,3,3,1,6,0.428571429,3,1,6,0.428571429,3,1,6,0.428571429,3,1
1/29/23 - 2/4/23,0,1,2,4,1,1,2,4,1,1,2,4,1,1,2
2/5/23 - 2/11/23,1,2,2,3,1.5,2,2,3,1.5,2,2,3,1.5,2,2
2/12/23 - 2/18/23,0,1,0,4,0,1,0,4,0,1,0,4,0,1,0
2/19/23 - 2/25/23,2,0,1,4,0.75,0,1,4,0.75,0,1,4,0.75,0,1
2/26/23 - 3/4/23,0,1,1,4,0.75,1,1,4,0.75,1,1,4,0.75,1,1
3/5/23 - 3/11/23,1,1,0,2,0,1,0,2,0,1,0,2,0,1,0
3/12/23 - 3/18/23,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
3/19/23 - 3/25/23,0,1,0,3,0,1,1,4,1.5,1,1,4,1.5,0,3
3/26/23 - 4/1/23,0,0,0,2,0,0,1,5,0.75,0,0,4,0,2,3
4/2/23 - 4/8/23,0,0,0,0,0,1,2,5,1.2,1,1,4,0.75,3,2
4/9/23 - 4/15/23,3,0,0,0,#DIV/0!,1,2,6,1.2,1,0,3,0,2,3
4/16/23 - 4/22/23,0,0,1,2,#DIV/0!,2,2,5,1,0,1,3,1,3,6
4/23/23 - 4/29/23,0,0,1,3,1.5,1,2,7,1.2,1,1,5,1,4,6
4/30/23 - 5/6/23,1,1,1,4,1,2,2,7,0.857142857,1,1,3,0.6,7,9
5/7/23 - 5/13/23,0,1,1,3,0.75,3,3,8,1.285714286,1,3,4,3,9,8
5/14/23 - 5/20/23,0,0,0,2,0,3,2,8,0.75,3,3,6,2.25,7,11
5/21/23 - 5/27/23,3,0,1,2,1.5,2,3,8,1.125,2,1,6,0.5,9,11
5/28/23 - 6/3/23,0,1,1,2,1.5,2,2,6,0.75,2,3,6,1.5,8,10
6/4/23 - 6/10/23,4,0,1,2,1.5,2,2,6,1,2,2,4,1,11,12
6/11/23 - 6/17/23,8,1,0,1,0,2,1,5,0.5,2,0,3,0,10,13
6/18/23 - 6/24/23,4,1,1,2,3,2,1,6,0.6,1,1,3,1,16,17
6/25/23 - 7/1/23,8,1,1,2,1.5,1,1,4,0.5,1,1,4,1,13,24
7/2/23 - 7/8/23,2,0,0,2,0,1,1,2,0.75,2,2,3,1.5,20,24
7/9/23 - 7/15/23,3,0,0,2,0,1,1,2,1.5,1,2,4,2,23,30
7/16/23 - 7/22/23,3,0,0,1,0,1,1,2,1.5,2,1,3,0.75,28,28
7/23/23 - 7/29/23,7,0,1,2,3,1,0,1,0,1,0,3,0,24,31
7/30/23 - 8/5/23,7,1,0,2,0,0,0,1,0,1,1,3,1,27,25
8/6/23 - 8/12/23,4,0,0,1,0,0,0,1,0,1,0,2,0,25,25
8/13/23 - 8/19/23,3,0,1,1,3,1,0,1,0,1,1,2,1.5,27,37
8/20/23 - 8/26/23,2,1,1,2,3,0,1,3,3,1,1,3,1.5,28,40
8/27/23 - 9/2/23,2,1,1,2,1.5,1,1,4,1,1,0,1,0,34,42
9/3/23 - 9/9/23,0,0,1,2,1.5,0,1,5,0.75,0,0,2,0,39,42
9/10/23 - 9/16/23,2,1,1,2,1.5,1,2,5,1.2,0,1,3,1.5,34,54
9/17/23 - 9/23/23,2,1,0,3,0,2,3,7,1.8,1,1,5,1,44,65
9/24/23 - 9/30/23,1,1,1,2,1,3,2,7,0.857142857,1,1,4,0.6,61,79
10/1/23 - 10/7/23,3,1,0,1,0,2,2,8,0.857142857,1,1,3,0.75,70,88
