week,New.Infections_S0,New.Infections_S1,New.Infections_S2,New.Infections_S3,New.Infections_S4,New.Infections_S5,New.Infections_S6,New.Infections_S7,New.Infections_S8,New.Infections_S9,New.Infections_S10,New.Infections_S11,New.Infections_S12,New.Infections_S13,New.Infections_S14,New.Infections_S15,New.Infections_S16,New.Infections_S17,New.Infections_S18,New.Infections_S19
66,0,0,0,1,2,5,11,109,1,3,6,2,1,1,0,5,4,1,2,2
67,0,0,1,2,2,4,9,110,2,3,7,2,1,1,1,5,6,3,4,4
68,0,0,1,1,2,4,11,106,1,3,5,2,1,0,1,5,6,1,3,2
69,0,0,1,2,2,4,10,108,1,2,4,2,1,1,0,6,6,1,4,2
70,0,0,0,2,2,3,8,108,2,5,5,2,1,1,1,4,6,1,4,4
71,0,0,0,2,2,4,9,104,1,4,6,1,1,0,0,4,5,0,4,3
72,0,0,0,1,1,4,8,102,2,3,5,1,1,0,0,4,5,1,5,2
73,0,0,0,1,2,4,9,100,2,4,4,0,1,0,0,4,5,1,4,3
74,0,0,0,0,1,4,8,94,1,4,4,1,0,0,0,3,6,0,4,3
75,0,0,0,0,1,5,6,95,2,3,5,0,0,0,0,3,5,0,4,2
76,0,0,0,0,0,4,10,98,1,4,3,0,0,0,0,3,5,0,3,2
77,0,0,0,0,0,3,8,94,1,3,4,0,0,0,0,2,6,0,3,2
78,0,0,0,0,0,4,6,96,1,3,4,0,0,0,0,3,5,0,4,2
79,0,0,0,0,0,2,4,95,2,3,4,0,0,0,0,2,5,0,3,2
80,0,0,0,0,0,3,5,93,2,4,4,0,0,0,0,2,6,0,3,1
81,0,0,0,0,0,2,5,95,1,3,4,0,0,0,0,2,5,0,4,1
82,0,0,0,0,0,2,5,90,2,3,5,0,0,0,0,1,6,0,3,2
83,0,0,0,0,0,3,5,92,1,4,4,0,0,0,0,0,4,0,3,2
84,0,0,0,0,0,2,4,88,2,3,6,0,0,0,0,0,5,0,1,0
85,0,0,0,0,0,2,4,87,1,3,5,0,0,0,0,1,6,0,2,1
