"week","New.Infections_S1","New.Infections_S2","New.Infections_S3","New.Infections_S4","New.Infections_S5","New.Infections_S6","New.Infections_S7","New.Infections_S11","New.Infections_S12","New.Infections_S13"
0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,2,1,2,1,2,1,1
2,0,1,2,2,1,2,1,1,1,0
3,1,1,2,2,1,1,2,2,1,0
4,0,1,1,1,0,1,2,0,1,0
5,1,2,4,2,2,2,4,1,1,0
6,0,1,2,2,3,3,4,0,1,0
7,1,2,5,3,4,3,6,1,2,1
8,1,2,4,3,3,5,9,1,2,0
9,1,1,3,2,2,4,8,0,1,0
10,0,1,2,2,3,5,9,0,1,0
11,0,1,2,2,3,4,9,0,1,0
12,0,2,4,3,3,6,13,1,2,1
13,1,2,5,5,4,7,14,1,3,1
14,0,2,3,4,5,6,15,0,2,1
15,0,1,3,4,7,8,18,0,2,0
16,1,2,4,4,6,8,18,0,2,1
17,0,1,3,2,6,7,23,0,2,0
18,0,0,3,2,5,7,23,0,2,0
19,0,0,2,4,6,8,26,0,1,0
20,1,2,5,6,6,9,30,2,3,1
21,1,2,5,4,7,12,32,2,3,0
22,1,2,5,5,7,12,38,4,3,2
23,0,2,4,6,8,13,40,4,3,1
24,1,2,5,7,9,12,45,7,4,1
25,0,1,5,6,8,15,47,4,3,1
26,0,2,5,6,8,15,56,2,3,1
27,0,2,4,6,10,16,65,2,3,0
28,1,2,6,7,11,17,68,2,5,1
29,0,2,3,7,10,17,73,1,4,2
30,0,1,3,8,9,14,79,1,4,0
31,1,2,5,9,10,17,87,1,5,1
32,1,3,6,12,11,18,97,2,5,1
33,1,2,6,8,12,20,93,1,4,1
34,0,1,4,8,12,16,99,1,5,1
35,1,3,6,8,13,19,99,4,5,1
36,0,2,3,7,13,19,108,2,4,0
37,0,2,5,6,13,19,104,3,4,0
38,0,1,4,7,11,20,115,3,4,1
39,0,1,4,6,12,18,117,3,3,1
40,0,1,4,7,10,19,113,3,2,0
41,0,1,4,6,11,17,126,3,2,0
42,0,0,3,4,10,17,127,2,3,1
43,0,0,2,3,9,17,129,1,2,0
44,0,0,2,2,8,15,130,1,1,0
45,0,1,2,3,8,15,129,1,1,1
46,1,1,2,4,7,16,135,2,2,1
47,0,0,2,2,6,16,128,1,1,0
48,0,1,2,3,6,14,125,0,2,0
49,0,0,2,2,6,14,126,1,1,0
50,0,1,2,4,5,15,137,1,1,0
51,0,0,1,3,6,13,133,1,1,0
52,0,0,1,4,5,11,132,1,1,0
53,1,1,1,5,6,13,132,2,1,0
54,0,2,3,6,6,12,137,2,2,1
55,0,1,2,4,5,12,140,1,1,0
56,0,0,1,5,5,11,139,2,1,0
57,1,1,2,6,6,12,136,3,3,1
58,1,0,2,5,4,10,140,2,2,1
59,1,1,2,5,4,11,135,3,2,1
60,0,1,2,5,4,12,133,3,2,1
61,1,1,3,5,4,13,132,4,3,1
62,0,1,2,5,4,10,132,2,3,1
63,0,1,2,6,4,10,124,3,2,1
64,0,2,2,5,5,11,120,3,3,1
65,0,1,3,4,5,12,128,3,3,0
66,0,1,2,5,5,9,116,2,2,0
67,0,1,2,5,5,11,118,3,3,0
68,0,2,2,6,6,12,123,4,2,1
69,0,2,2,5,7,11,114,4,3,1
70,1,2,2,5,6,10,113,4,2,1
71,0,1,1,3,6,11,108,4,2,0
72,0,1,1,3,4,8,102,3,1,0
73,0,0,1,2,4,7,98,3,2,0
74,0,0,1,2,3,7,90,3,1,0
75,0,0,0,2,3,9,87,2,0,0
76,0,0,0,2,3,7,93,1,1,0
77,0,1,0,1,3,6,81,1,1,0
78,0,0,0,1,2,6,82,1,0,0
79,0,0,0,0,2,6,78,1,0,0
80,0,0,0,0,2,7,80,0,0,0
81,0,0,0,0,1,5,73,0,0,0
82,0,0,0,0,2,5,70,0,1,0
83,0,0,0,0,2,5,65,0,0,0
84,0,0,0,0,3,7,70,0,1,0
85,0,0,0,0,1,5,65,0,1,0
