"week","r_t_S1","r_t_S2","r_t_S3","r_t_S4","r_t_S5","r_t_S6","r_t_S7","r_t_S11","r_t_S12","r_t_S13"
35,0.24,0.51,0.59,0.6,0.83,0.79,0.96,0.63,0.6,0.26
36,0,0.3,0.48,0.69,0.81,0.86,1.04,0.54,0.57,0.16
37,0.08,0.42,0.57,0.72,0.79,0.89,0.96,0.55,0.53,0.08
38,0,0.38,0.61,0.86,0.81,0.94,1.03,0.67,0.85,0.22
39,0,0.28,0.64,0.66,0.8,0.77,1.01,0.56,0.57,0.2
40,0,0,0.57,0.83,0.8,0.85,0.95,0.51,0.53,0
41,0,0.45,0.61,0.54,0.86,0.8,1.03,0.58,0.35,0.1
42,0,0,0,0.53,0.81,0.81,1.04,0.56,0.96,0
43,0,0,0,0.5,0.82,0.86,0.99,0,0.44,0
44,0,0,0,0.42,0.88,0.87,0.96,0,0.38,0
45,0,0.34,0.42,0.53,0.71,0.8,0.95,0.38,0.36,0
46,0.26,0,0.48,0.66,0.71,0.85,0.97,0.43,0.55,0
47,0,0,0.57,0.56,0.7,0.87,0.94,0,0.38,0
48,0,0,0.57,0.67,0.78,0.89,0.94,0,0,0
49,0,0,0.46,0.51,0.73,0.9,0.97,0,0,0
50,0,0.27,0.69,0.54,0.59,0.92,1.02,0.29,0,0
51,0,0,0.22,0.86,0.69,0.82,0.97,0,0,0
52,0.19,0.21,0.46,0.7,0.6,0.64,0.94,0.35,0.25,0
53,0.2,0.27,0.34,0.73,0.7,0.83,0.94,0.7,0.36,0.1
54,0.06,0.28,0.54,0.6,0.53,0.71,0.96,0.37,0.38,0.21
55,0.03,0.19,0.29,0.55,0.6,0.88,0.99,0.3,0.37,0.06
56,0,0,0.38,0.74,0.76,0.78,0.97,0.46,0.46,0
57,0.1,0.23,0.35,0.61,0.54,0.76,0.92,0.46,0.4,0.2
58,0.28,0.14,0.36,0.62,0.4,0.72,0.95,0.36,0.4,0.2
59,0.22,0.43,0.41,0.67,0.55,0.74,0.94,0.51,0.54,0.26
60,0.09,0.22,0.46,0.7,0.56,0.82,0.9,0.65,0.46,0.18
61,0.2,0.21,0.53,0.54,0.57,0.84,0.95,0.49,0.41,0.28
62,0.15,0.31,0.44,0.55,0.6,0.72,0.97,0.43,0.56,0.37
63,0.17,0.27,0.48,0.54,0.54,0.72,0.89,0.59,0.33,0.21
64,0.18,0.39,0.47,0.54,0.77,0.86,0.89,0.58,0.55,0.19
65,0.08,0.17,0.59,0.39,0.76,0.94,0.96,0.52,0.5,0.16
66,0,0.19,0.51,0.78,0.63,0.76,0.91,0.42,0.47,0
67,0,0.22,0.47,0.61,0.74,0.85,0.92,0.63,0.56,0
68,0.15,0.43,0.53,0.8,0.75,0.84,0.96,0.74,0.36,0.19
69,0.2,0.36,0.35,0.56,0.76,0.77,0.89,0.59,0.61,0.17
70,0.24,0.39,0.3,0.57,0.61,0.71,0.9,0.58,0.34,0.27
71,0.27,0.33,0.3,0.34,0.72,0.81,0.91,1.01,0.32,0.03
72,0,0.31,0,0.55,0.63,0.68,0.91,0.62,0,0
73,0,0,0,0,0.62,0.66,0.88,0.92,0,0
74,0,0,0,0,0.76,0.8,0.87,0.5,0,0
75,0,0,0,0,0.85,0.85,0.89,0,0,0
76,0,0,0,0,0.81,0.84,0.96,0,0,0
77,0,0,0,0,0.78,0.82,0.88,0,0,0
78,0,0,0,0,0,0.85,0.95,0,0,0
79,0,0,0,0,0,0.67,0.9,0,0,0
80,0,0,0,0,0,1.03,0.97,0,0,0
81,0,0,0,0,0,0.59,0.87,0,0,0
82,0,0,0,0,0,0,0.88,0,0,0
83,0,0,0,0,0,0,0.85,0,0,0
84,0,0,0,0,0,1.09,0.95,0,0,0
85,0,0,0,0,0,0,0.91,0,0,0
