"week","r_t_S1","r_t_S2","r_t_S3","r_t_S4","r_t_S5","r_t_S6","r_t_S7","r_t_S11","r_t_S12","r_t_S13"
0,0,0,0,0,0,0,0,0,0,0
1,0.1,0.19,0.26,0.29,0.2,0.23,0.2,0.27,0.19,0.13
2,0,0,0.52,0.63,0.23,0,0,0.33,0.39,0.08
3,0.23,0.24,0.6,0.44,0.25,0.38,0.64,0.4,0.29,0.2
4,0.14,0,0,0.42,0,0.25,0.77,0.13,0.25,0
5,0.15,0.4,0.71,0.44,0.47,0.41,0.72,0.26,0.19,0
6,0.16,0,0.53,0.51,0.62,0.59,0.73,0.05,0.32,0
7,0.26,0.34,0.78,0.62,0.52,0.5,0.76,0.13,0.42,0.14
8,0.2,0.37,0.49,0.48,0.35,0.79,1.02,0.18,0.41,0.14
9,0.25,0.47,0.44,0.41,0.34,0.64,0.89,0,0.25,0
10,0.12,0.23,0.55,0.52,0.78,0.82,0.99,0,0.35,0
11,0,0.47,0,0.68,0.76,0.62,0.82,0,0.33,0
12,0.18,0.4,0.56,0.63,0.46,0.72,1.01,0.15,0.49,0.3
13,0.12,0.23,0.5,0.61,0.5,0.67,0.88,0.19,0.41,0.15
14,0.15,0,0.39,0.68,0.79,0.81,0.93,0.1,0.4,0.32
15,0.06,0.19,0.44,0.48,0.98,0.88,0.99,0,0.43,0.07
16,0.25,0.39,0.52,0.53,0.67,0.74,0.9,0.12,0.34,0.38
17,0.13,0.35,0.49,0,0.72,0.68,1.13,0,0.44,0
18,0,0,0,0,0.65,0.78,1.03,0,0.82,0
19,0,0,0,0.77,0,0.94,1.09,0,0.46,0
20,0.2,0.42,0.57,0.66,0.55,0.67,1,0.31,0.51,0.28
21,0.15,0.35,0.77,0.42,0.61,0.92,1.03,0.45,0.56,0.09
22,0.19,0.38,0.69,0.53,0.68,0.81,0.98,0.6,0.35,0.26
23,0.08,0.34,0.47,0.68,0.78,0.82,0.99,0.61,0.47,0.13
24,0.11,0.32,0.54,0.68,0.75,0.69,0.99,0.75,0.44,0.21
25,0.08,0.26,0.66,0.7,0.67,0.87,0.98,0.51,0.5,0.27
26,0.04,0.28,0.61,0.53,0.6,0.7,1.05,0.28,0.52,0.17
27,0.08,0.29,0.56,0.64,0.83,0.83,1.15,0.27,0.49,0.07
28,0.16,0.32,0.58,0.63,0.72,0.75,1.01,0.21,0.53,0.22
29,0.08,0.41,0.37,0.79,0.73,0.79,1.05,0.14,0.59,0.39
30,0.09,0.15,0.43,0.79,0.73,0.67,1.05,0.11,0.58,0.12
31,0.16,0.32,0.51,0.7,0.73,0.88,1.02,0.13,0.63,0.3
32,0.16,0.33,0.48,0.7,0.64,0.71,1.02,0.18,0.41,0.15
33,0.1,0.24,0.49,0.49,0.73,0.78,0.92,0.18,0.35,0.14
34,0.07,0.25,0.45,0.66,0.81,0.68,1.02,0.16,0.65,0.18
