Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.8974,1.7,2
2,0.4088,0,1
3,0.8118,0.4,1.3
4,1.125,0.6,1.7
5,0.4128,0,1.1
6,0.7854,0.1,1.8
7,1.404,0.6,2.3
8,1.4976,0.7,2.3
9,2.8414,1.3,4.7
10,1.616,0.5,3
11,1.9262,0.8,3.1
12,2.0204,1.2,3
13,2.028,0.9,3.1
14,1.941,1,3.2
15,2.7274,1.4,4.2
16,2.0394,0.6,4.3
17,2.1966,1.5,2.9
18,1.8822,0.9,2.9
19,1.9002,0.9,3
20,2.4,1.2,3.8
21,1.8222,0.7,3.1
22,3.4996,1.7,5.4
23,3.359,1.8,5
24,2.7688,1.6,4
25,4.3816,2.7,6.1
26,2.8418,1.5,4
27,4.6498,3.5,6
28,4.212,2.4,6.6
29,4.1726,3,5.4
30,6.0394,4.3,7.9
31,5.4774,4.2,6.9
32,6.377,4.6,8.1
33,8.3376,6.5,10.2
34,6.5692,4.8,8.5
35,7.4548,5.6,8.8
36,6.2302,3.8,9
37,6.038,4,8.3
38,6.4956,3.6,10.1
39,6.9764,4.4,10.1
40,7.4798,4.7,11.4
41,5.8648,3.3,9.1
42,6.0986,3.4,8.6
43,5.8762,3.5,8.1
44,5.5344,3.1,8
45,5.5386,2.7,8.5
46,5.0252,2.4,7.9
47,6.579,3.3,10.7
48,4.2334,2.3,6.3
49,4.7572,1.7,8.5
50,4.8668,1.8,8.9
51,4.7026,2.5,7.6
52,3.9442,1.6,7
53,5.5126,2.6,9.4
54,4.797,1.9,8.6
55,5.3128,3.1,7.8
56,4.1846,1.5,7.2
57,3.6842,1.6,6.1
58,3.7684,1.8,5.7
59,5.0142,1.1,9.4
60,4.8752,1.5,8.9
61,4.574,1.9,7.6
62,3.4372,1.4,5.7
63,4.2538,1.8,7.1
64,3.85,1.9,5.7
65,4.3596,1.8,6.9
66,4.0352,1.8,6.2
67,3.7574,1.5,6.4
68,3.3672,1.4,5.8
69,3.55,1.2,6.7
70,4.2706,2.3,6.3
71,4.7108,1.5,8.2
72,3.47,1.2,6.5
73,3.3032,1,5.8
74,4.2694,1.6,7.5
75,4.1944,1,7.7
76,2.3262,0.6,4.2
77,2.6166,0.7,4.7
78,2.5486,0.7,4.6
79,3.1376,1,5.5
80,2.6376,0.8,4.8
81,3.3262,0.8,6
82,2.7316,0.7,5.1
83,3.2172,1.1,5.4
84,1.4052,0.3,2.8
85,2.5304,0.2,4.9
