Week,Mean,LowerBound,UpperBound
0,0,0,0
1,21.5772,19.6,24.1
2,19.1312,16.4,21.6
3,20.2196,18.4,22.1
4,17.1914,14.5,19.8
5,22.3766,20.2,24.5
6,18.3818,16.1,21.3
7,22.7526,19.5,27.1
8,20.1002,18.1,22.3
9,20.1516,18.4,21.9
10,22.7566,19.8,26.3
11,18.8178,16.8,20.9
12,21.7754,18.4,25.1
13,23.509,20.7,26.5
14,21.9512,19.7,24.3
15,21.883,19.3,24.5
16,22.8504,19.9,25.9
17,19.4728,16.8,21.8
18,20.9786,19.6,22.4
19,22.1598,20,24.7
20,20.8604,17.5,24.3
21,19.3826,15.9,23.2
22,21.0246,17.3,25.4
23,20.9564,18.6,23.9
24,18.5518,16.1,21
25,20.285,18.4,22.1
26,17.178,14.6,19.6
27,20.031,18.6,21.8
28,22.4988,19.3,25.3
29,19.9834,17.4,22.3
30,19.688,17.3,21.9
31,18.3802,15.7,21.4
32,18.149,15.4,21.2
33,19.3278,16.7,21.9
34,21.6414,19.7,23.5
35,19.6636,17.7,21.7
36,22.5442,20.3,24.9
37,17.6372,15.3,20
38,18.8252,15.6,21.5
39,19.7238,16.4,22.8
40,17.425,15,19.8
41,19.5474,17.3,22.2
42,21.0144,18.1,23.7
43,21.375,18.6,25
44,19.7912,16.8,22.6
45,18.7082,15.2,22.8
46,19.4068,16.6,22.7
47,21.1454,18.2,24.4
48,20.3596,17.7,23.1
49,20.2252,17.6,23
50,19.5408,18.2,20.9
51,21.3902,18.4,24.8
52,19.4436,17.6,21.1
53,17.8008,15.7,20.1
54,20.6516,18.4,22.8
55,20.218,17.3,23.1
56,18.828,15.8,21.9
57,17.5964,15.1,19.9
58,19.8446,16.8,23.1
59,23.43,21,25.6
60,20.3342,18.4,22
61,18.2334,15.3,21.4
62,19.2826,16.4,22.7
63,18.1928,16.3,20.4
64,23.3278,20.8,26
65,16.8276,15.6,18.3
66,22.0902,19.7,24.2
67,18.2594,15.1,22.1
68,19.0518,16.9,21.4
69,18.6364,16.4,20.9
70,17.996,15.8,20.6
71,17.3432,15.5,19.2
72,19.431,17,21.9
73,20.4932,17.3,24.6
74,17.7992,16.3,19.4
75,18.6834,16.5,20.7
76,16.7256,15.7,17.7
77,17.273,14.7,20.5
78,19.8484,16.3,23.1
79,16.6352,13.2,19.8
80,20.9722,18,23.9
81,20.1044,17.3,22.8
82,23.4008,21.1,26.1
83,18.9942,16.8,21.1
84,19.8266,16.9,22.7
85,18.7778,16.1,21.4
