Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.511,0.1,0.9
2,1.2812,0.6,2
3,1.3094,0.7,2
4,1.4244,0.7,2.2
5,2.1096,1.3,3
6,2.0254,1.2,3.1
7,1.2914,0.8,1.8
8,2.0922,1.3,3
9,0.7908,0.1,1.6
10,1.7002,1.1,2.4
11,1.0806,0.5,1.7
12,1.9172,0.9,3.1
13,2.2722,1.4,3
14,2.3154,1.2,3.5
15,2.4314,1.4,3.5
16,1.6998,1.3,2.1
17,1.3048,0.7,1.9
18,1.781,1.1,2.8
19,2.284,1.4,3.1
20,1.1994,0.6,1.8
21,1.6184,0.7,2.5
22,2.521,1.9,3.3
23,1.57,0.8,2.4
24,1.0922,0.7,1.5
25,0.9796,0.5,1.5
26,0.9904,0.3,1.7
27,1.7848,1.2,2.6
28,1.5702,0.5,3
29,1.476,0.5,2.7
30,0.8896,0.4,1.4
31,1.88,1.2,2.6
32,0.8988,0.5,1.3
33,1.3834,0.9,2.1
34,1.315,0.7,2
35,1.487,0.8,2.2
36,1.4488,0.5,2.6
37,1.1112,0.7,1.5
38,1.3722,0.7,2
39,1.3852,0.7,2
40,1.8006,1.1,2.4
41,1.5374,0.8,2.5
42,2.0222,1.2,2.8
43,0.9828,0.4,1.6
44,0.3076,0,0.6
45,1.3782,0.7,2.1
46,1.6796,1.2,2.2
47,1.5686,0.7,2.4
48,1.7896,1,2.5
49,1.2102,0.5,1.9
50,1.604,0.9,2.6
51,1.1872,0.7,1.7
52,2.05,1,3
53,2.1938,1.3,3.2
54,1.4756,0.8,2.2
55,1.0936,0.6,1.7
56,2.185,1.6,2.8
57,1.6516,0.7,2.7
58,1.734,1.2,2.3
59,1.2688,0.6,2.1
60,1.602,1,2.4
61,1.1902,0.5,1.9
62,1.6174,0.5,2.9
63,1.4938,0.9,1.9
64,1.3056,0.7,1.9
65,1.7994,1,2.6
66,1.6216,0.9,2.4
67,1.2032,0.6,2
68,1.3274,0.4,2.2
69,1.0046,0.4,1.7
70,2.501,1.9,3.2
71,1.7008,0.3,3.5
72,1.368,0.7,2
73,1.52,0.6,2.6
74,1.6966,0.8,2.6
75,1.2926,0.7,1.9
76,1.5084,1.2,1.8
77,1.2082,0.8,1.6
78,1.5208,0.8,2.4
79,1.781,1,2.5
80,2.336,1.4,3.1
81,1.3262,0.7,1.9
82,1.7094,0.9,2.7
83,1.7938,1.2,2.5
84,1.8166,1.3,2.3
85,1.2332,0.6,1.8
