"mle_estim","param","p_detect","lower_95","upper_95","lower_90","upper_90","lower_50","upper_50"
0.934796698652936,"R",0.05,0.91,0.96,0.92,0.95,0.93,0.94
10,"k",0.05,0.43,10,0.608,10,2.278,10
0.906390008566663,"R",0.1,0.87,0.94,0.88,0.93,0.9,0.91
10,"k",0.1,0.454,10,0.621,10,2.153,10
0.847931063402548,"R",0.25,0.8,0.9,0.8,0.89,0.83,0.86
7.47298904781405,"k",0.25,0.486,10,0.625,10,1.709,10
0.780053175332127,"R",0.5,0.71,0.86,0.72,0.84,0.76,0.8
3.67105465497665,"k",0.5,0.518,10,0.637,10,1.424,10
