Week,Mean,LowerBound,UpperBound
0,0,0,0
1,265.9694,256,276.2
2,279.8448,273.4,287.6
3,263.4618,258.8,268.6
4,275.9922,270.5,282
5,125.7252,119.5,131.9
6,132.909,128.4,136.7
7,130.5644,122.1,140
8,124.9674,119.1,130.7
9,125.2456,118.2,130.8
10,128.9736,124,134.7
11,128.9212,123.4,135.5
12,130.729,125,137
13,118.8802,112.4,125.7
14,124.929,117.8,131.5
15,129.26,124.6,134.1
16,126.8942,120.4,134
17,126.8762,119.6,134.4
18,122.8044,120.1,125.9
19,130.5048,124.2,136.9
20,127.428,120.5,136.4
21,121.492,113.7,129
22,125.0306,118.9,131.3
23,120.4178,116.8,124
24,126.4198,118.6,134.8
25,125.1646,118,131.7
26,129.6048,124.7,134.1
27,128.86,122.6,135.8
28,130.7538,126.2,135.9
29,127.0152,119.8,134.6
30,127.2274,119.1,133.6
31,125.7856,119.7,132
32,127.826,123.3,132.5
33,125.7404,118.9,132.9
34,123.1876,117.2,129.1
35,124.2514,117.7,131.7
36,122.0742,119,125.1
37,127.97,118.6,136
38,129.205,121.4,138.7
39,131.1456,124.4,137.7
40,122.5598,115.4,129.6
41,125.013,119.1,131.3
42,128.9172,121.4,136.5
43,132.26,125.9,138.3
44,128.6638,123.9,134.2
45,120.8876,115.1,126.7
46,123.4924,118.2,128.5
47,123.9062,119.1,129.2
48,128.264,120.7,135.7
49,123.3978,118.6,128.1
50,127.0804,118.5,136.1
51,120.8512,115.3,126
52,120.2554,115,126.2
53,126.1792,120.1,133
54,124.5234,117.8,132.5
55,130.2834,123.6,138.6
56,123.205,118.5,127.6
57,118.7444,110.4,126.1
58,121.9066,112.7,130.7
59,125.9022,117.9,133.2
60,124.919,117.6,131.4
61,122.1824,113.6,132.5
62,128.0796,121.1,134.5
63,119.2084,115.9,123.5
64,122.6356,115.9,129.5
65,120.246,112.2,129.4
66,124.0378,119,128.8
67,127.0678,119.6,134.6
68,120.739,114.1,128.8
69,123.9068,118.2,129.3
70,122.821,117.8,127.8
71,123.7418,117,131
72,122.9972,118.3,127.9
73,122.3982,116.2,128
74,125.9828,117,133.7
75,124.8968,116.9,133.2
76,125.5058,118.5,132.3
77,118.468,112.5,125.3
78,121.9012,115.8,127.3
79,122.2216,116.6,127.4
80,119.0338,113.2,126.3
81,120.1576,113.3,127.4
82,120.7002,115.1,126.1
83,117.4528,113.9,121.3
84,124.8412,118,132.2
85,118.5554,113.3,125
