Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.811,1.4,2.2
2,1.3802,0.8,1.9
3,1.886,1,3.1
4,2.7676,1.5,4.1
5,2.2692,1.4,3.3
6,2.3744,1,4.2
7,1.287,0.6,2.1
8,2.4762,1.3,4
9,2.4108,0.9,4.1
10,2.3634,1.4,3.3
11,2.8546,1,4.6
12,3.17,1.5,4.8
13,3.8032,2,5.9
14,3.6354,2.3,5
15,3.9876,1.9,5.9
16,5.7252,2.9,8.8
17,4.0948,2.7,5.5
18,5.2372,3,7.5
19,5.5466,2.7,8.9
20,4.445,2,7.2
21,3.0624,1.4,5.2
22,4.5018,2.3,7
23,6.689,4,10
24,6.5626,3.3,10.5
25,5.4872,3.1,8.4
26,4.3718,2.4,6.8
27,5.284,2.9,7.5
28,6.212,3.2,9.5
29,7.3556,4.7,10.3
30,7.435,5.1,10
31,4.5946,3.2,5.9
32,6.2606,3.7,8.7
33,6.234,4.4,8.2
34,6.9382,5,8.8
35,5.2556,3.5,6.9
36,5.525,3.4,7.8
37,4.1568,3,5.5
38,4.0068,2.7,5.5
39,2.3824,1.3,3.8
40,2.3976,1.4,3.4
41,2.5656,1.4,3.8
42,1.6984,1,2.6
43,2.387,1.6,3.1
44,1.7866,0.6,3
45,2.161,1,3.8
46,1.589,0.4,3.3
47,1.9686,0.9,3.2
48,1.2234,0.5,2.1
49,2.2968,1,3.9
50,0.7774,0.3,1.4
51,0.8926,0.4,1.5
52,1.3606,0.6,2.3
53,1.3488,0.4,2.8
54,1.1598,0.4,2
55,1.489,0.3,3
56,1.474,0.3,2.9
57,2.1624,0.7,4.1
58,2.3686,0.8,4.5
59,2.5644,1,4.9
60,1.5512,0.4,3.3
61,1.5636,0.6,2.9
62,1.7744,0.8,2.9
63,1.47,0.6,2.3
64,1.4646,0.4,2.6
65,2.2022,0.7,3.9
66,2.0598,0.6,3.6
67,3.2874,1.5,5.3
68,2.842,1,4.7
69,2.6448,0.9,4.9
70,2.6592,1.4,4.2
71,4.4972,2,7.2
72,3.9072,2.2,5.6
73,3.5862,1.8,6
74,4.3832,2.1,7.4
75,3.868,1.3,7.3
76,3.6948,1.9,5.7
77,3.0996,1.3,5.2
78,3.216,1.4,5.4
79,3.5554,1.3,6.8
80,2.8194,0.9,5.5
81,2.6234,1,4.7
82,3.5966,1.4,6.2
83,2.9296,1,5.5
84,2.0984,0.5,4
85,1.5224,0.5,2.9
