Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.4912,0.2,0.9
2,0.5724,0.2,1.1
3,2.0876,1.4,2.8
4,1.1236,0.6,1.6
5,1.9198,1.2,2.7
6,1.5268,0.8,2.3
7,1.7266,1,2.6
8,2.0338,0.9,3
9,2.08,1.5,2.8
10,1.8616,1.2,2.6
11,3.0844,2.1,4.3
12,2.2758,1.7,2.9
13,2.5044,1.9,3.2
14,1.7084,1,2.5
15,1.777,1.1,2.4
16,2.0098,1.1,2.8
17,2.4882,2,3
18,2.0176,1.1,3.2
19,3.3224,2,4.7
20,1.3876,0.8,2
21,2.3126,1.2,3.7
22,1.9966,1.1,2.9
23,2.6566,1.7,3.6
24,2.3336,1.4,3.6
25,2.2986,1.7,2.8
26,2.2922,1.2,3.2
27,2.3858,1.4,3.3
28,2.6672,1.7,4
29,1.9636,1.1,3
30,2.7016,1.6,3.9
31,2.9286,1.9,3.9
32,1.9116,1.3,2.5
33,2.4984,1.5,3.5
34,2.9082,2.3,3.7
35,2.0942,1.6,2.6
36,2.4024,1.7,3.1
37,2.0052,0.8,3.5
38,2.002,1.1,2.9
39,1.8154,0.9,2.8
40,2.7038,1.5,3.9
41,1.7808,0.9,2.9
42,1.9644,1.2,2.8
43,3.5084,1.9,5.2
44,2.1098,1.2,3.2
45,3.214,2.4,3.9
46,1.8998,1.4,2.4
47,1.6054,0.8,2.4
48,1.4904,0.9,2.2
49,2.6912,1.9,3.5
50,1.9168,1.1,2.6
51,1.6832,0.8,2.6
52,1.6742,0.8,2.6
53,1.4938,1,2
54,2.2842,1.4,3.3
55,2.625,1.8,3.6
56,1.0066,0.5,1.5
57,2.1882,1.2,3.1
58,2.0088,1.1,2.9
59,1.6014,0.8,2.6
60,2.0106,1.3,2.9
61,2.6696,1.8,3.6
62,2.1908,1,3.7
63,2.3946,1.7,3.1
64,2.2244,1.2,3.2
65,1.9992,1.3,2.6
66,2.426,1.7,3
67,3.7082,2.6,5.2
68,2.433,1.7,3.1
69,1.9786,1.2,2.9
70,2.1268,1,3.6
71,3.1554,2,4.5
72,2.9838,2.1,3.8
73,1.6874,1,2.4
74,2.1044,1.1,3.2
75,2.8604,1.7,3.9
76,1.086,0.6,1.5
77,1.9934,1.1,3
78,1.9978,1,3
79,2.1178,1.3,2.9
80,1.9948,1.5,2.5
81,1.916,1.2,2.7
82,2.3324,1.1,3.8
83,2.5728,1.6,3.8
84,3.8164,2.5,5.2
85,2.3032,1.2,3.6
