Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.8018,1.5,2
2,0.6914,0.2,1.4
3,2.242,1.4,3.3
4,3.1102,2.2,4.2
5,3.6958,2.8,4.4
6,2.9032,1.8,4.3
7,4.2928,3.2,5.4
8,2.525,1.4,3.6
9,4.6144,2.9,6.4
10,4.6746,3.5,6.1
11,4.482,3.6,5.3
12,3.953,3,5
13,4.8568,3.5,6
14,4.3298,3.3,5.4
15,4.3958,3.1,5.6
16,4.9292,3.9,5.9
17,5.2908,3.8,6.9
18,4.1946,3.6,4.8
19,4.6556,3.2,6.2
20,4.7428,2.8,6.8
21,3.7054,2.9,4.4
22,4.159,2.6,5.9
23,3.6832,2.4,5.1
24,4.394,2.9,5.9
25,3.2374,2.2,4.3
26,4.2764,3.4,5.3
27,5.5022,3.8,7.1
28,4.8004,3.8,5.8
29,3.3718,2.3,4.6
30,5.4728,4.2,6.8
31,4.706,3.8,5.7
32,5.1716,3.8,6.7
33,4.1898,3,5.5
34,5.2114,3.6,7.1
35,4.2846,2.6,6.1
36,4.0266,2.7,5.4
37,4.7966,3.7,5.9
38,3.9414,2,6.2
39,3.8064,2.8,4.7
40,5.0034,3.4,6.8
41,2.955,2,3.9
42,4.9864,3.3,6.8
43,3.8152,2.1,5.3
44,4.6292,2.9,6.5
45,4.2966,3.2,5.6
46,5.011,3.5,6.6
47,4.5614,2.9,6.2
48,4.3488,2.7,6.1
49,4.1148,3,5.5
50,4.8858,4.3,5.5
51,4.0106,2.6,5.5
52,4.3984,3.3,5.7
53,4.5808,3,6.2
54,3.794,2.9,4.8
55,3.7432,2.6,5.3
56,4.6258,3.3,6.3
57,3.5776,2.5,4.7
58,3.8156,2.7,4.8
59,3.4394,2.3,4.7
60,3.0256,1.6,5
61,4.7704,3.6,6
62,4.1186,3,5.1
63,3.9754,3.1,4.9
64,4.3738,2.8,6.3
65,4.1424,3.2,5.1
66,5.0996,4.1,6.1
67,5.15,4.2,5.8
68,5.1798,3.9,6.5
69,6.8406,5.3,8.7
70,3.9088,2.4,5.4
71,4.2986,2.9,5.6
72,5.2904,3.6,7.3
73,4.73,2.9,6.8
74,3.37,2.6,4.2
75,3.5458,2,5.1
76,4.416,2.9,5.8
77,3.8778,2.9,4.8
78,4.1352,2.6,5.8
79,3.3572,2.2,4.7
80,3.7346,2.6,5
81,4.2134,2.6,5.9
82,3.8606,2.5,5.5
83,4.7468,2.8,7.1
84,4.265,3.5,5
85,5.1836,3.5,7.8
