Week,Mean,LowerBound,UpperBound
0,0,0,0
1,261.3542,252.2,271
2,277.1276,270.1,284.6
3,257.9148,251.1,265.6
4,253.7354,243.8,263
5,128.015,118.8,135.1
6,126.7494,118.9,133.9
7,130.1242,122.1,140.5
8,123.1512,115.8,131.3
9,125.3578,119.7,130.9
10,130.6468,122.8,137.5
11,128.112,121.7,135
12,127.2968,122.1,134
13,123.0686,115.6,130.6
14,125.4486,116.6,133.1
15,123.8718,118.7,129.2
16,127.5638,121.4,133.3
17,122.799,117.8,128.3
18,124.2044,117.7,130.3
19,122.6746,118.7,126.9
20,128.6748,118.8,137.7
21,123.8768,119,129
22,126.2306,118.2,134.6
23,126.473,121.2,131.4
24,124.2498,114.7,133.3
25,123.5244,119,128.4
26,125.0582,119,130.9
27,125.3312,119.4,131.7
28,122.2494,117.6,127.9
29,120.6716,115.7,126.2
30,123.2574,118.9,127.3
31,127.0838,119,135.6
32,124.936,116.1,132.8
33,127.4146,120.3,134.9
34,122.44,117.6,127
35,126.8902,121.3,132.4
36,126.0036,120.7,130.9
37,121.3878,114.8,127.9
38,133.8292,127.2,140.4
39,128.7604,123.5,133.7
40,122.3234,117.7,126.6
41,120.326,114.3,128.4
42,131.6824,125,138.5
43,127.5778,122.2,132.6
44,124.7082,117.9,130.6
45,125.5914,122.6,128.8
46,126.2344,120.3,131.7
47,121.1166,115.1,128.3
48,127.0792,123,131.1
49,124.3482,119.3,129.5
50,132.4164,126.5,137.3
51,116.4452,110.4,123
52,124.223,119.1,128.8
53,125.264,118.6,133.2
54,130.0388,122.4,137.6
55,122.7138,119.1,126.6
56,121.3886,114,128.4
57,125.5118,121.7,130.1
58,122.1986,115,128.1
59,123.0794,118.3,128.1
60,126.4838,120.4,132.4
61,121.5686,112,131.1
62,119.4092,110.2,129.2
63,126.085,117.5,134.7
64,119.9344,113.5,125.6
65,126.7116,123.2,130.9
66,125.0754,119.6,129.8
67,122.3358,115.6,128.5
68,118.4846,113.4,123.2
69,129.4328,123.4,136.4
70,119.6884,115.4,125.2
71,117.984,114.5,121.3
72,123.4706,119.8,127
73,126.7062,118.5,136.1
74,118.2208,111,125.1
75,115.9868,109.6,121
76,118.765,112.4,125.6
77,121.3216,116.2,127
78,119.171,112.2,127.5
79,115.6518,112.2,119
80,121.5516,116.8,126.4
81,119.7468,114.6,125.6
82,123.0796,117.6,129.2
83,119.1168,110.2,126.2
84,123.8024,117.6,129.9
85,120.14,113.9,125.3
