Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1,1,1
2,0.302,0,0.6
3,0.4848,0.1,1.1
4,0.4036,0,0.9
5,0.1868,0,0.4
6,0.0899999999999999,0,0.3
7,0,0,0
8,0.2932,0,0.7
9,0,0,0
10,0.209,0,0.5
11,0,0,0
12,0,0,0
13,0,0,0
14,0.0947999999999999,0,0.3
15,0.0947999999999999,0,0.3
16,0.5016,0.1,0.9
17,0,0,0
18,0.2904,0,0.6
19,0.4944,0.1,0.9
20,0.1926,0,0.5
21,0.6974,0.3,1.3
22,0.6044,0.2,1
23,0.7994,0.3,1.4
24,1.11,0.2,2
25,1.7018,0.5,3
26,1.469,0.7,2.4
27,2.2208,1.3,3.3
28,2.6776,1.7,3.9
29,3.332,2.2,4.6
30,3.1978,1.2,5.4
31,3.4512,1.1,6.4
32,3.1822,0.8,6.1
33,4.0324,2.1,6.3
34,3.7996,1.8,6.1
35,5.2278,2.5,8.6
36,4.8802,2.1,7.8
37,3.1282,1.3,5.1
38,3.8978,1.9,6.2
39,4.0334,1.6,6.7
40,4.2676,1.6,7.5
41,4.8838,1.5,8.5
42,3.9672,1.2,6.9
43,3.7502,1.5,6.9
44,2.9364,0.7,5.6
45,2.7956,1.1,4.9
46,4.575,1.7,7.7
47,3.695,1.8,5.9
48,4.4324,1.4,8
49,3.2898,1.1,5.7
50,3.0128,1.2,5.3
51,3.5808,1.6,6
52,2.1994,0.9,3.6
53,3.612,1.3,6.3
54,1.5802,0.5,3
55,2.9244,1.2,5.1
56,2.853,1,5.1
57,1.7778,0.5,3.3
58,2.9624,0.8,5.5
59,1.9966,0.8,3.4
60,2.5052,1.3,3.9
61,3.2952,0.8,6.6
62,3.1134,1.1,5.6
63,2.9028,0.9,5.7
64,1.9468,0.5,3.7
65,2.4854,1,4.2
66,2.6902,1,4.7
67,2.2006,0.8,3.7
68,1.8786,0.7,3.4
69,2.5046,0.6,5.1
70,2.5802,0.8,4.9
71,1.8818,0.8,3.4
72,1.6832,0.3,3.4
73,2.4082,0.6,5
74,1.6308,0.7,2.5
75,1.6192,0.6,2.7
76,0.6996,0.2,1.4
77,2.2904,0.4,4.8
78,0.9856,0.2,2
79,1.1892,0.2,2.6
80,0.794,0,1.8
81,1.0204,0.3,2
82,1.02,0.2,2.2
83,0.6068,0.2,1.1
84,0.7254,0,1.8
85,0.5052,0,1.3
