Week,Mean,LowerBound,UpperBound
0,0,0,0
1,2.116,0.9,3.6
2,1.104,0.4,1.9
3,2.118,0.6,3.9
4,1.125,0.4,2
5,2.005,0.8,3.4
6,1.5822,0.7,2.5
7,1.7186,0.9,2.6
8,1.6054,0.5,2.8
9,1.8286,0.6,3.4
10,1.6428,0.4,3.3
11,2.033,0.6,3.9
12,2.7094,1.2,4.4
13,2.3532,0.6,4.8
14,2.684,0.4,5.9
15,2.6668,0.9,4.6
16,2.8344,0.8,5.2
17,2.935,1.4,4.5
18,2.5384,0.6,4.8
19,2.729,1.1,4.5
20,4.702,2.7,6.8
21,4.272,2.8,6
22,5.0238,3.3,6.8
23,4.521,2.1,7.1
24,3.6258,1.8,5.7
25,3.9464,1.8,6.3
26,3.4408,2.1,4.7
27,4.6412,2.3,7.1
28,7.0756,5,9.3
29,6.124,4.3,7.7
30,5.0346,3.6,6.6
31,7.0296,3.9,10.3
32,5.6448,3.8,7.5
33,6.1418,3.6,8.8
34,4.9554,3.3,6.6
35,6.0058,3.9,8.1
36,5.6492,3.6,7.9
37,3.8896,2.5,5.3
38,3.4036,1.9,5.1
39,3.1614,1.6,4.7
40,3.5368,2.1,5.5
41,3.3766,2.2,4.7
42,2.3606,1.1,3.7
43,2.8114,1.6,4.1
44,2.2864,1.2,3.4
45,2.924,1.3,5.1
46,2.9406,1.3,4.9
47,2.5422,1,4.5
48,2.4414,0.8,4.3
49,1.4634,0.3,2.7
50,2.5022,0.7,4.9
51,1.7992,0.7,2.8
52,2.5312,1.3,4.1
53,2.2478,0.8,4
54,2.8466,1.7,4
55,2.4666,1,4
56,2.5856,0.8,4.8
57,3.7614,2.5,5.2
58,3.6584,1.3,6.5
59,3.6698,2.3,4.9
60,3.357,1.9,5
61,3.8186,2.2,5.8
62,3.022,1.9,4.2
63,4.1288,2.9,5.7
64,3.335,2.1,4.9
65,4.0046,2.3,6.2
66,4.7866,2.8,7.7
67,3.5154,2,5.7
68,4.2174,2.5,6.2
69,4.0926,2.7,5.9
70,2.692,1.8,3.5
71,3.693,2.5,4.9
72,3.5334,1.7,5.1
73,3.9518,2.5,5.5
74,3.8762,2,6
75,4.532,2.2,6.9
76,3.6274,1.8,5.7
77,2.906,1.3,4.9
78,3.9992,2,6.6
79,2.4206,1.1,4.1
80,2.5274,1,4.1
81,2.3222,0.6,4.2
82,1.9106,0,5.1
83,2.6058,0.4,5.6
84,2.2064,0.6,4.4
85,1.5286,0.2,3.5
