	strain	date	accession	authors	institution	focus_areas
71	MPXV-ROK-P010-2023	2023-04-13	OR459783	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
72	MPXV_UK_2022_9000177	2022-06-26	OP205126	Groves et al.	UKHSA, Research and Evaluation	Global
73	hMPXV/Australia/VIC-0686/2024	2024-06-20	PQ153188	Edenborough et al.	Melbourne Health, VIDRL	Global
74	hMPXV/USA/NC-UNC-0011/2022	2022-08-12	OP480411	Deanhardt et al.	University of North Carolina at Chapel Hill, Department of Genetics	North America
75	MPX_KMgssq_9000237	2022-07-XX	OP415211	Groves et al.	UKHSA, Research and Evaluation	Global
76	NY-NYCPHL-000796	2022-07-XX	OQ468805	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
77	MPXV/Germany/2023/ON/RKI1076	2023-12-XX	PP182129	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
78	Monkeypox virus/Human/USA/CA-LACPHL-MA00372/2022	2022-10-18	OQ330972	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
79	NY-NYCPHL-000965	2022-07-XX	OQ565532	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
80	NY-NYCPHL-000907	2022-07-XX	OQ565501	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
81	MpxV/human/CAN/UN-NML-3921/2022	2022-06-29	OP062234	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
82	hMpxV/USA/CA-CDPH-1M1000344/2023	2023-09-26	PQ336063	Kath et al.	CDPH, VRDL	Other California
83	hMpxV/USA/CA-CDPH-1M1000448/2023	2023-10-10	PQ218905	Kath et al.	CDPH, VRDL	Other California
84	MPXV_USA_2024_MA0228	2024-XX-XX	PQ834954	Doucette et al.	Massachusetts State Public Health Laboratory, Department of Public Health	North America
85	MPXV/Germany/2022/ON/RKI909	2022-06-XX	OR449622	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
86	NY-NYCPHL-000841	2022-07-XX	OQ565472	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
