	strain	date	accession	authors	institution	focus_areas
192	MPXV/Germany/2022/RKI237	2022-08-XX	OP215261	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
193	MPXV_USA_2022_MA0061	2022-XX-XX	OP890419	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
194	NY-NYCPHL-001218	2023-08-XX	PP533326	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
195	MPXV_USA_2022_PA0018	2022-06-XX	PQ686938	Gigante et al.	CDC, DHCPP-PRB	North America
196	MPXV/Human/USA/CA-LACPHL-MA00616/2024	2024-02-12	PP507072	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
197	MPXV_UK_2022_9000061	2022-05-27	OP205067	Groves et al.	UKHSA, Research and Evaluation	Global
198	hMpxV/USA/CACDPH1MPX1000181/2022	2022-06-17	OQ547897	Probert et al.	CDPH, VRDL	Other California
199	hMpxV/USA/CA-CDPH-1M1000555/2023	2023-10-26	PQ160034	Kath et al.	CDPH, VRDL	Other California
200	MPXV/Germany/2022/ON/RKI836	2022-07-XX	OQ773455	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
201	hMPXV/Australia/VIC-5661/2024	2024-07-12	PQ153203	Edenborough et al.	Melbourne Health, VIDRL	Global
202	WA-UW-490338	2024-05-30	PP970528	Roychoudhury et al.	University of Washington, Laboratory Medicine and Pathology	North America
203	MPXV-USA-IL-IDPH-032	2022-06-14	OP536693	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
204	MPXV/Germany/2022/RKI037	2022-06-XX	ON755243	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
205	NY-NYCPHL-000530	2022-07-XX	OQ419033	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
206	Z22IRL00547	2022-08-26	OR146270	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
207	MPXV_USA_2022_MN0008	2022-09-XX	OQ320520	Gigante et al.	CDC, DHCPP-PRB	North America
208	MPXV/Germany/2022/ON/RKI897	2022-07-XX	OQ773516	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
209	hMpxV/USA/CA-CDPH-1MPX1000266/2022	2022-07-08	PQ781677	Kath et al.	CDPH, VRDL	Other California
210	NY-NYCPHL-000512	2022-07-XX	OQ504453	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
211	MPXV/Germany/2022/RKI072	2022-06-XX	ON853658	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
212	hMPXV-IHU00003	2022-07-04	OP382480	Colson et al.	IHU - Mediterranee Infection, MEPHI	Global
213	MPXV_USA_2022_MA0177	2022-XX-XX	OP890522	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
214	WA-UW-11099	2024-02-01	PP736801	Roychoudhury et al.	University of Washington, Laboratory Medicine and Pathology	North America
215	MPXV/PT0757/2023	2023-10-04	PP025005	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
216	MPXV_438_SP_2022	2022-XX-XX	OX344887	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
217	MPXV/UZ_REGA_95	2022-07-27	OR035701	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
218	NY-NYCPHL-000606	2022-07-XX	OQ469007	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
219	hMpxV/USA/CA-CDPH-1M1000339/2023	2023-09-18	PQ336059	Kath et al.	CDPH, VRDL	Other California
220	hMpxV/USA/IL-RIPHL-004-0194/2024	2024-07-17	PQ583324	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
221	MPXV/Germany/2022/ON/RKI756	2022-07-XX	OR463719	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
222	TRM357	2022-09-12	PP853048	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
223	SVPL_231	2024-06-10	PQ141470	Featherston et al.	National Institute of Communicable Diseases, Sequencing Core Facility	Global
224	NY-NYCPHL-001203	2023-03-XX	PP533274	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
225	Monkeypox/PT0332/2022	2022-05-27	OP414363	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
226	MPXV/Germany/2022/ON/RKI616	2022-08-XX	OP894036	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
227	hMpxV/USA/CA-CDPH-1M1000684/2024	2024-10-02	PQ781652	Kath et al.	CDPH, VRDL	Other California
228	NY-NYCPHL-000970	2022-07-XX	OQ565536	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
229	9000426	2022-08-XX	OP536800	Groves et al.	UKHSA, Research and Evaluation	Global
230	MPXV/PT0596/2022	2022-11-29	OR865754	Sobral et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
