,year-week,mean,sem,hpd50_lo,hpd50_hi,hpd95_lo,hpd95_hi
0,2022-04-18,0.005813953488372093,0.004105088726152395,0,0,0,0
1,2022-04-25,0.09593023255813954,0.018829551859651784,0,0,0,1
2,2022-05-02,0.18023255813953487,0.02834891721906315,0,0,0,1
3,2022-05-09,0.3546511627906977,0.04145104358151925,0,0,0,2
4,2022-05-16,0.625,0.06069194708955592,0,0,0,3
5,2022-05-23,1.0784883720930232,0.0851189982530139,0,0,0,4
6,2022-05-30,2.127906976744186,0.12318146605622864,0,2,0,6
7,2022-06-06,4.372093023255814,0.19113098582157917,1,4,0,10
8,2022-06-13,8.063953488372093,0.2308976501751273,3,8,1,16
9,2022-06-20,12.723837209302326,0.30653222009566045,8,14,3,24
10,2022-06-27,19.40406976744186,0.38209948902420243,13,22,8,33
11,2022-07-04,28.15406976744186,0.4620747463829607,20,30,15,48
12,2022-07-11,29.99127906976744,0.5317642209034666,21,33,12,48
13,2022-07-18,15.843023255813954,0.3670842657460252,8,16,4,29
14,2022-07-25,7.558139534883721,0.20706136412500692,4,8,1,15
15,2022-08-01,4.348837209302325,0.1482758372224721,1,4,0,9
16,2022-08-08,3.0552325581395348,0.112447793440053,1,3,0,7
17,2022-08-15,2.872093023255814,0.11147970533631571,1,3,0,7
18,2022-08-22,3.2994186046511627,0.12010854173802499,1,3,0,7
19,2022-08-29,3.383720930232558,0.12997665985606935,1,3,0,8
20,2022-09-05,3.1627906976744184,0.11165106998590366,1,3,0,7
21,2022-09-12,3.1424418604651163,0.12227157712412946,1,3,0,7
22,2022-09-19,3.686046511627907,0.13937659111895698,0,3,0,9
23,2022-09-26,3.354651162790698,0.12034021026103875,2,4,0,8
24,2022-10-03,2.7790697674418605,0.10231610419687343,1,3,0,6
25,2022-10-10,2.191860465116279,0.08988702168323232,0,2,0,5
26,2022-10-17,1.5959302325581395,0.07618447364605824,0,1,0,4
27,2022-10-24,1.194767441860465,0.06008323755627961,0,1,0,3
28,2022-10-31,0.9476744186046512,0.05562304202741931,0,1,0,3
29,2022-11-07,0.7616279069767442,0.052114217415451795,0,0,0,3
30,2022-11-14,0.8575581395348837,0.04836645631205847,0,1,0,2
31,2022-11-21,1.0813953488372092,0.059071118111877985,0,1,0,3
32,2022-11-28,1.4767441860465116,0.07129876396094512,0,1,0,4
33,2022-12-05,1.2412790697674418,0.06606421844016538,0,1,0,4
34,2022-12-12,0.7848837209302325,0.04992378381112531,0,1,0,3
35,2022-12-19,0.5988372093023255,0.04324295715268609,0,0,0,2
36,2022-12-26,0.563953488372093,0.040190852497991876,0,0,0,2
37,2023-01-02,0.32848837209302323,0.031338592498183035,0,0,0,2
38,2023-01-09,0.24709302325581395,0.02699700606909006,0,0,0,1
39,2023-01-16,0.24127906976744187,0.0268359104430095,0,0,0,1
40,2023-01-23,0.24127906976744187,0.026518216146450287,0,0,0,1
41,2023-01-30,0.22093023255813954,0.02421898589876236,0,0,0,1
42,2023-02-06,0.22093023255813954,0.025580470770217117,0,0,0,1
43,2023-02-13,0.16279069767441862,0.02271560520129127,0,0,0,1
44,2023-02-20,0.11046511627906977,0.01836656510589367,0,0,0,1
45,2023-02-27,0.12790697674418605,0.022242128815626688,0,0,0,1
46,2023-03-06,0.11046511627906977,0.01882235414352842,0,0,0,1
47,2023-03-13,0.14825581395348839,0.02318738236773683,0,0,0,1
48,2023-03-20,0.12790697674418605,0.0210680181579763,0,0,0,1
49,2023-03-27,0.11918604651162791,0.01976911189317683,0,0,0,1
50,2023-04-03,0.16569767441860464,0.02357096700266822,0,0,0,1
51,2023-04-10,0.16279069767441862,0.021956732822307375,0,0,0,1
52,2023-04-17,0.2180232558139535,0.024120620310021577,0,0,0,1
53,2023-04-24,0.2819767441860465,0.03210899125786336,0,0,0,2
54,2023-05-01,0.31976744186046513,0.031195578607344333,0,0,0,2
55,2023-05-08,0.3546511627906977,0.035023281745879584,0,0,0,1
56,2023-05-15,0.44476744186046513,0.03784021227238578,0,0,0,2
57,2023-05-22,0.622093023255814,0.04365575462703087,0,0,0,2
58,2023-05-29,1.0377906976744187,0.05752929967525622,0,1,0,3
59,2023-06-05,1.872093023255814,0.07548811112267732,1,2,0,4
60,2023-06-12,2.01453488372093,0.07849088320866326,1,2,0,5
61,2023-06-19,1.938953488372093,0.07328612316344152,1,2,0,4
62,2023-06-26,1.3313953488372092,0.06135828711642961,0,1,0,3
63,2023-07-03,0.47674418604651164,0.039254307838072065,0,0,0,2
64,2023-07-10,0.4476744186046512,0.03717448494776537,0,0,0,2
65,2023-07-17,0.5406976744186046,0.038559015624481933,0,0,0,2
66,2023-07-24,0.4273255813953488,0.03591343850920302,0,0,0,2
67,2023-07-31,0.5930232558139535,0.04188738860411836,0,0,0,2
68,2023-08-07,1.0784883720930232,0.0503295140719993,0,1,0,3
69,2023-08-14,1.677325581395349,0.07290728168677534,0,1,0,4
70,2023-08-21,1.747093023255814,0.07563532370441146,1,2,0,4
71,2023-08-28,1.9825581395348837,0.07602082576866204,1,2,0,5
72,2023-09-04,1.566860465116279,0.0767181333766575,0,1,0,4
73,2023-09-11,2.066860465116279,0.09129616961663643,0,2,0,5
74,2023-09-18,2.494186046511628,0.09132058856411582,0,2,0,5
75,2023-09-25,2.436046511627907,0.0965799767291799,0,2,0,6
76,2023-10-02,2.130813953488372,0.08816277095287335,1,2,0,5
77,2023-10-09,1.438953488372093,0.06757008596151867,0,1,0,4
78,2023-10-16,1.0116279069767442,0.05704440144561073,0,1,0,3
79,2023-10-23,0.6511627906976745,0.045673511909858855,0,0,0,2
80,2023-10-30,0.502906976744186,0.04178344695709915,0,0,0,2
81,2023-11-06,0.4622093023255814,0.03606951022475949,0,0,0,2
82,2023-11-13,0.4418604651162791,0.040843910724157884,0,0,0,2
83,2023-11-20,0.34011627906976744,0.03359976630558404,0,0,0,2
84,2023-11-27,0.22093023255813954,0.026234730573357783,0,0,0,1
85,2023-12-04,0.18023255813953487,0.023798253790522257,0,0,0,1
86,2023-12-11,0.17732558139534885,0.025409911459314958,0,0,0,1
87,2023-12-18,0.2063953488372093,0.022986760626144145,0,0,0,1
88,2023-12-25,0.26744186046511625,0.026902387699607764,0,0,0,1
89,2024-01-01,0.30523255813953487,0.031212553860653733,0,0,0,1
90,2024-01-08,0.5058139534883721,0.037956252416969566,0,0,0,2
91,2024-01-15,0.6627906976744186,0.04684099261845988,0,0,0,2
92,2024-01-22,0.5784883720930233,0.04074456342117308,0,0,0,2
93,2024-01-29,0.2005813953488372,0.023136325176845683,0,0,0,1
94,2024-02-05,0.19767441860465115,0.024104783240684324,0,0,0,1
95,2024-02-12,0.2616279069767442,0.027687668005040952,0,0,0,1
96,2024-02-19,0.35755813953488375,0.032289565109496515,0,0,0,2
97,2024-02-26,0.41569767441860467,0.036773015460569554,0,0,0,2
98,2024-03-04,0.502906976744186,0.047658323436659045,0,0,0,2
99,2024-03-11,0.4011627906976744,0.03712673690971645,0,0,0,2
100,2024-03-18,0.6017441860465116,0.05062821106907107,0,0,0,2
101,2024-03-25,0.9505813953488372,0.05838121002038284,0,1,0,3
102,2024-04-01,1.561046511627907,0.08299342053351448,0,1,0,5
