,year-week,mean,sem,hpd50_lo,hpd50_hi,hpd95_lo,hpd95_hi
103,2024-04-08,2.1686046511627906,0.08792729951078287,0,2,0,5
104,2024-04-15,2.604651162790698,0.09778517849237027,0,2,0,6
105,2024-04-22,2.5930232558139537,0.09518473282726132,0,2,0,6
106,2024-04-29,2.052325581395349,0.09677569136446998,0,2,0,5
107,2024-05-06,1.7761627906976745,0.08446349163862936,0,1,0,5
108,2024-05-13,1.3895348837209303,0.07247701850411954,0,1,0,4
109,2024-05-20,1.372093023255814,0.07085508346092649,0,1,0,4
110,2024-05-27,1.1337209302325582,0.06599201780060221,0,1,0,3
111,2024-06-03,1.0116279069767442,0.05836622697867602,0,1,0,3
112,2024-06-10,0.8052325581395349,0.05075457644988012,0,1,0,3
113,2024-06-17,0.6191860465116279,0.04387277162758217,0,0,0,2
114,2024-06-24,0.48255813953488375,0.039478358925137784,0,0,0,2
115,2024-07-01,0.438953488372093,0.035021523081085824,0,0,0,2
116,2024-07-08,0.436046511627907,0.03757527117574658,0,0,0,2
117,2024-07-15,0.3866279069767442,0.03512548434665732,0,0,0,2
118,2024-07-22,0.34593023255813954,0.0356352117415531,0,0,0,2
119,2024-07-29,0.3023255813953488,0.029193242412008713,0,0,0,1
120,2024-08-05,0.43023255813953487,0.03639894071591835,0,0,0,2
121,2024-08-12,0.502906976744186,0.03705333725696736,0,0,0,2
122,2024-08-19,0.7093023255813954,0.04404790865427331,0,1,0,2
123,2024-08-26,0.5174418604651163,0.037721855862338484,0,0,0,2
124,2024-09-02,0.3953488372093023,0.0319216081712368,0,0,0,1
125,2024-09-09,0.563953488372093,0.03868659344666761,0,0,0,2
126,2024-09-16,0.5145348837209303,0.037045357499744073,0,0,0,2
127,2024-09-23,0.37209302325581395,0.03140495253931577,0,0,0,2
128,2024-09-30,0.22965116279069767,0.02484912063544972,0,0,0,1
129,2024-10-07,0.23546511627906977,0.02468997640930768,0,0,0,1
130,2024-10-14,0.13662790697674418,0.018996292065708152,0,0,0,1
131,2024-10-21,0.055232558139534885,0.012334256577059673,0,0,0,1
132,2024-10-28,0.11337209302325581,0.017118934119395527,0,0,0,1
133,2024-11-04,0.08139534883720931,0.014764442553680373,0,0,0,1
134,2024-11-11,0.023255813953488372,0.00813783967702052,0,0,0,0
