,migration_event_number,calendar_date_of_import,latest_case_of_chain_calendar_date,size_of_chain,length_of_chain_days
76,138,2022-07-12,2022-07-27,1.0,15
77,113,2022-07-12,2022-07-25,1.0,13
78,194,2022-07-12,2022-07-26,1.0,13
79,25,2022-07-12,2022-07-25,1.0,12
80,34,2022-07-12,2022-07-25,1.0,12
81,202,2022-07-12,2022-07-27,1.0,14
82,47,2022-07-13,2022-07-27,1.0,14
83,68,2022-07-13,2022-07-28,1.0,15
84,145,2022-07-13,2022-07-27,1.0,14
85,161,2022-07-13,2022-07-28,1.0,15
86,227,2022-07-13,2022-07-27,1.0,14
87,219,2022-07-13,2022-07-29,1.0,16
88,206,2022-07-13,2022-07-27,1.0,13
89,40,2022-07-13,2022-07-28,1.0,14
90,184,2022-07-13,2022-10-12,5.0,90
91,125,2022-07-14,2022-07-29,1.0,15
92,211,2022-07-14,2022-08-01,1.0,17
93,14,2022-07-14,2022-08-01,1.0,17
94,222,2022-07-14,2022-08-01,1.0,17
95,199,2022-07-14,2022-08-03,1.0,19
96,226,2022-07-14,2022-08-01,1.0,17
97,19,2022-07-15,2022-08-02,1.0,18
98,174,2022-07-15,2022-08-05,1.0,21
99,53,2022-07-15,2022-08-04,1.0,20
100,21,2022-07-15,2022-08-07,1.0,23
101,205,2022-07-15,2022-08-05,1.0,21
102,49,2022-07-15,2022-08-03,1.0,19
103,16,2022-07-15,2022-08-03,1.0,19
104,12,2022-07-15,2022-08-04,1.0,19
105,50,2022-07-15,2022-08-05,1.0,20
106,203,2022-07-15,2022-08-19,2.0,34
107,157,2022-07-15,2022-08-10,1.0,25
108,244,2022-07-15,2022-08-09,1.0,24
109,186,2022-07-17,2022-08-19,1.0,32
110,178,2022-07-17,2022-08-17,1.0,30
111,152,2022-07-18,2022-08-17,1.0,30
112,220,2022-07-18,2022-08-17,1.0,29
113,4,2022-07-20,2022-08-25,1.0,36
114,183,2022-07-21,2022-08-30,1.0,39
115,193,2022-07-22,2022-08-29,1.0,37
116,41,2022-07-23,2022-09-01,1.0,40
117,151,2022-07-24,2022-09-02,1.0,40
118,144,2022-07-25,2022-09-01,1.0,38
119,15,2022-07-25,2022-09-06,1.0,43
120,150,2022-07-26,2022-11-08,5.0,105
121,162,2022-07-27,2022-09-07,1.0,41
122,156,2022-07-28,2022-09-09,1.0,43
123,217,2022-07-29,2022-09-07,1.0,39
124,175,2022-07-31,2022-10-17,2.0,77
125,27,2022-08-01,2022-09-12,1.0,42
126,130,2022-08-01,2022-09-12,1.0,41
127,181,2022-08-03,2022-10-25,3.0,82
128,223,2022-08-08,2022-10-18,2.0,70
129,135,2022-08-11,2022-09-20,1.0,40
130,188,2022-08-11,2022-09-21,1.0,41
131,190,2022-08-12,2022-09-22,1.0,40
132,246,2022-08-13,2022-10-19,2.0,67
133,163,2022-08-13,2022-09-22,1.0,39
134,51,2022-08-15,2022-10-04,2.0,49
135,173,2022-08-17,2022-09-29,1.0,42
136,136,2022-08-17,2022-09-23,1.0,36
137,172,2022-08-19,2022-09-27,1.0,39
138,238,2022-08-19,2022-09-26,1.0,38
139,44,2022-08-20,2022-10-14,2.0,55
140,215,2022-08-22,2022-09-26,1.0,35
141,234,2022-08-22,2022-09-27,1.0,36
142,192,2022-08-23,2022-10-03,1.0,40
143,187,2022-08-25,2022-11-23,4.0,90
144,42,2022-08-26,2022-10-04,1.0,38
145,182,2022-08-29,2022-10-04,1.0,35
146,170,2022-08-30,2022-10-04,1.0,35
147,213,2022-09-05,2022-10-09,1.0,34
148,214,2022-09-05,2022-10-07,1.0,32
149,168,2022-09-05,2022-10-08,1.0,32
150,204,2022-09-08,2022-10-11,1.0,32
151,177,2022-09-09,2022-10-13,1.0,33
152,167,2022-09-09,2022-10-11,1.0,31
153,229,2022-09-12,2022-10-13,1.0,30
154,148,2022-09-16,2022-10-16,1.0,30
155,196,2022-09-19,2022-10-19,1.0,30
156,208,2022-09-20,2022-10-18,1.0,28
157,231,2022-09-21,2022-10-21,1.0,29
158,228,2022-09-21,2023-01-10,3.0,110
159,240,2022-09-23,2022-12-10,2.0,78
160,233,2022-09-26,2022-10-24,1.0,28
161,164,2022-09-29,2022-10-26,1.0,26
162,197,2022-10-03,2023-01-08,5.0,96
163,37,2022-10-04,2022-10-31,1.0,27
164,139,2022-10-07,2022-11-02,1.0,25
165,142,2022-10-10,2022-11-05,1.0,25
166,239,2022-11-05,2022-12-03,1.0,27
167,232,2022-11-09,2022-12-03,1.0,24
168,45,2022-11-09,2022-12-05,1.0,26
169,165,2022-11-18,2022-12-12,1.0,23
170,155,2022-11-19,2022-12-14,1.0,25
171,90,2022-11-19,2022-12-12,1.0,22
172,149,2022-11-29,2022-12-23,1.0,23
173,176,2022-12-03,2023-01-30,3.0,57
174,224,2022-12-06,2022-12-30,1.0,24
175,241,2022-12-13,2023-01-11,1.0,28
176,32,2023-01-06,2023-02-10,1.0,34
177,61,2023-01-15,2023-06-30,8.0,165
178,63,2023-05-23,2023-12-07,10.0,198
179,7,2023-05-25,2023-08-07,2.0,73
180,67,2023-05-28,2023-07-28,3.0,60
181,74,2023-05-29,2023-06-10,1.0,12
182,70,2023-06-07,2023-07-26,2.0,48
183,71,2023-06-12,2023-06-21,1.0,9
184,75,2023-06-13,2023-06-22,1.0,8
185,69,2023-06-16,2023-06-28,1.0,11
186,9,2023-06-19,2023-07-01,1.0,12
187,72,2023-06-20,2023-07-03,1.0,12
188,5,2023-06-21,2023-07-06,1.0,14
189,6,2023-07-04,2023-08-02,2.0,28
190,62,2023-07-08,2023-07-27,1.0,18
191,126,2023-08-10,2023-08-16,1.0,6
192,78,2023-08-16,2023-08-23,1.0,7
193,8,2023-08-17,2023-08-24,1.0,6
194,81,2023-08-24,2023-09-01,1.0,8
195,128,2023-08-26,2023-09-04,1.0,8
196,10,2023-09-07,2024-02-07,5.0,153
197,106,2023-09-10,2024-01-22,3.0,134
198,109,2023-09-13,2023-12-19,2.0,97
199,56,2023-09-18,2023-10-01,1.0,12
200,110,2023-09-19,2024-02-07,6.0,140
201,54,2023-09-20,2023-10-06,1.0,15
202,73,2023-09-24,2023-10-11,1.0,17
203,248,2023-09-24,2024-08-24,9.0,334
204,65,2023-09-24,2023-10-12,1.0,17
205,66,2023-09-27,2023-10-17,1.0,20
206,87,2023-09-30,2023-10-26,1.0,25
207,83,2023-09-30,2023-10-25,1.0,24
208,64,2023-09-30,2023-11-02,1.0,32
209,82,2023-10-06,2023-11-20,1.0,45
210,107,2023-10-09,2023-11-27,1.0,48
211,119,2023-10-09,2024-02-12,5.0,125
212,84,2023-10-12,2023-12-05,1.0,54
213,55,2023-12-11,2024-01-22,1.0,42
214,108,2023-12-17,2024-01-25,1.0,38
