Week,Mean,LowerBound,UpperBound
0,0,0,0
1,24.1992,21.1,26.9
2,21.3186,20,22.5
3,20.5746,17.8,23.2
4,20.0406,17.2,22.6
5,22.3724,20.4,24.6
6,20.4118,18.6,22
7,21.0048,19.6,22.5
8,18.7948,15.9,21.2
9,20.136,17,23.1
10,20.3952,18.3,22.6
11,17.6184,15.3,19.8
12,19.3354,16.8,21.7
13,18.328,14.8,21.8
14,20.924,18.3,24.2
15,20.6764,18.5,22.5
16,20.6354,18.3,22.6
17,19.1846,16.6,21.6
18,20.937,18.7,23.3
19,21.157,18.7,24.1
20,20.271,18.2,22.4
21,19.963,17.8,22.5
22,19.2432,15,23.4
23,20.706,17.5,24.1
24,21.1144,19.4,22.9
25,20.1034,18.1,22.3
26,17.2358,15.6,18.9
27,21.0276,18.2,23.5
28,19.1046,16.5,22
29,20.02,18.4,21.6
30,18.5404,15.3,21.7
31,23.5496,20.7,27.7
32,20.5784,18.8,22.5
33,20.0268,16.4,23.5
34,19.4892,17,21.8
35,19.9046,16.5,22.9
36,18.2666,16.3,20.5
37,20.4472,18.9,22.2
38,21.6268,19.2,23.5
39,21.4652,18.6,24.9
40,19.4254,17.7,21.1
41,20.7558,18.2,23.3
42,20.1908,17.4,23
43,19.9156,17.4,22.5
44,18.9712,16.3,21.6
45,17.289,15.8,18.8
46,20.1338,18.3,21.7
47,20.6068,17.6,23.6
48,20.1958,17.8,22.7
49,20.248,17.9,22.8
50,17.8886,14.9,21.1
51,18.1984,15.9,20.8
52,20.2854,16.9,24.1
53,22.0546,19.7,25.3
54,23.8064,21.6,26.2
55,17.1484,15.3,19
56,20.6556,16.8,23.7
57,17.6696,14.6,20.9
58,17.4446,15.5,19.4
59,21.2906,17.4,24.8
60,20.3356,18.5,22.4
61,20.2096,18.4,22.2
62,17.9826,15.3,20.3
63,18.9304,17.8,20.1
64,19.3748,15.5,23.9
65,18.1088,15.9,20.9
66,19.646,17.9,21.5
67,20.385,16.6,24.1
68,19.073,16.2,21.6
69,20.4414,18.7,22.9
70,21.3602,19.8,22.9
71,20.6786,18.2,23
72,18.6472,15.9,21.8
73,18.0966,15.4,21.1
74,17.4286,14.9,19.9
75,16.8658,13.9,20.1
76,20.1322,17.4,22.9
77,21.9624,19.5,24.3
78,20.6112,17.6,23.6
79,18.8246,16.3,21.6
80,20.4498,18,22.8
81,20.6392,18.1,23.3
82,18.511,16.9,20.3
83,21.7336,18.2,25.1
84,18.2798,14.6,21.8
85,18.016,16.2,19.8
