Week,Mean,LowerBound,UpperBound
0,0,0,0
1,178.2232,171.2,185.9
2,179.4554,171,187.4
3,163.2656,157.8,168.6
4,177.3256,169.9,184.7
5,31.4998,29.3,34
6,34.7156,31.8,37.8
7,31.0114,28.2,34.2
8,30.1782,26.5,33.6
9,33.9924,30.9,37.3
10,34.3224,30.7,37.9
11,32.6006,29.3,35.9
12,31.9876,29.1,34.8
13,33.6182,29.8,36.6
14,31.9708,29.4,34.8
15,31.223,28.3,34.8
16,34.424,31,37.5
17,32.2506,31,33.8
18,34.784,30.6,38.8
19,31.1052,27.4,34.2
20,32.4452,29.5,34.8
21,33.7088,29.5,38.2
22,30.8676,28.2,33.3
23,31.4896,28,34.5
24,31.4546,28.8,34.1
25,29.5028,25.6,33.6
26,32.9626,28.2,37.3
27,35.8746,33.6,38.3
28,32.7784,29,35.6
29,32.386,28,36.9
30,29.7338,26.1,33.5
31,32.571,30.1,35
32,30.9658,28,34.7
33,34.1754,31.6,37
34,34.5242,30.4,38.7
35,33.0822,28.7,36.8
36,27.21,25.4,30
37,31.239,29.8,32.7
38,33.3242,29.1,37.9
39,34.1406,30.3,38.5
40,32.472,28.8,35.3
41,34.1676,30.1,38.1
42,32.2658,28.3,35.9
43,34.1496,30,38.3
44,34.2818,30.7,38
45,32.4506,29.9,35
46,33.695,29.1,37.9
47,29.9764,26.9,33.6
48,29.5596,26.2,32.8
49,30.9526,27,35.1
50,31.7804,29.6,34.5
51,29.622,26.2,33.5
52,33.017,28.8,37.2
53,28.9674,25.6,32.3
54,31.7812,28.9,35
55,31.4594,27.7,35.3
56,32.3642,27.7,37.3
57,30.4714,28,33.8
58,35.6324,32.4,38.8
59,31.1522,27.3,34.9
60,32.731,29.2,36.8
61,30.6136,27.6,33.6
62,34.1362,31.2,36.7
63,32.5206,29,36.5
64,31.2456,28.9,33.4
65,30.9024,28.2,33.8
66,32.4444,29,36.3
67,32.1586,28,36.6
68,32.1838,28.9,35.2
69,30.1738,27,33
70,31.7536,29.6,33.8
71,32.6304,29.3,36.1
72,32.8318,29.1,36.5
73,29.1258,26.2,32.1
74,29.2632,26.7,31.9
75,31.1164,28.5,33.5
76,32.0766,27,37.7
77,30.8934,27.5,34.4
78,30.1342,28.3,31.6
79,27.1072,23.5,30.1
80,29.005,26.1,32.5
81,29.9258,26.9,33.5
82,33.5098,30.9,35.9
83,31.3876,27,35.6
84,34.5618,31.8,37.8
85,29.125,25.6,33.3
