Week,Mean,LowerBound,UpperBound
0,0,0,0
1,22.8484,20.3,25.5
2,21.6062,18.9,24.5
3,19.4286,17.1,21.4
4,21.7752,19,24.4
5,19.442,17,21.8
6,20.3804,17.4,22.9
7,17.9272,16.5,19.6
8,21.021,18.9,23.2
9,19.6108,18,20.9
10,18.0202,15.7,20.6
11,19.9368,17.9,21.5
12,19.8986,16.4,23.4
13,23.701,20.6,27.1
14,22.038,19.9,24.1
15,19.8392,17.5,22.3
16,21.178,18,24.8
17,19.6462,15.8,23.9
18,15.5952,14.7,16.7
19,19.8682,17.7,22.4
20,23.3526,20.3,26.3
21,19.969,18.1,21.7
22,21.0646,19.1,23.2
23,20.2264,18.4,22.1
24,19.8662,16.8,23.4
25,20.1488,16.9,23.3
26,19.5094,16.7,22.2
27,20.1758,17.4,22.3
28,18.5304,16.1,21.4
29,19.992,17.3,22.5
30,22.9234,19.5,26.5
31,20.9574,19.3,22.9
32,17.9574,16.3,19.7
33,19.125,16.7,21.3
34,21.2302,19.2,23.2
35,21.5098,19.2,23.9
36,21.544,20.4,22.8
37,22.307,20.2,24.3
38,20.074,17.8,23.1
39,19.5904,17.5,21.7
40,22.824,20.5,25.2
41,21.9038,20.4,23.6
42,17.9236,16.1,19.5
43,20.2282,17.4,23.7
44,20.8086,19.3,22.4
45,20.2262,18.1,22.4
46,22.9184,20.4,25.3
47,19.321,16.8,21.9
48,18.8956,16.5,21.6
49,21.027,19.5,22.5
50,20.3144,18.2,22.7
51,18.7644,17,20.4
52,18.9556,16.5,21
53,18.8692,16,21.1
54,21.873,19.4,24.6
55,17.906,15.8,19.8
56,18.704,16.7,21
57,17.0872,14.3,19.7
58,20.0748,16.8,23.4
59,18.9568,16.5,21.8
60,18.1762,15.6,21.1
61,17.511,14.9,20
62,20.7138,17.5,23.8
63,20.9978,17.8,24
64,20.3784,18.9,22.1
65,20.2588,18.5,21.9
66,17.5812,16,19.3
67,21.0878,18.2,23.8
68,18.5422,16.5,20.7
69,19.4928,17,22.1
70,21.0484,17.8,24.2
71,20.1242,18.5,21.5
72,20.591,17.2,23.9
73,18.6296,15.2,22.1
74,18.545,15.6,21.4
75,18.4222,15.7,21.4
76,16.8996,14,19.7
77,21.455,17.5,26.2
78,20.3894,17.8,22.9
79,18.989,17,20.8
80,19.4758,18,21.1
81,18.9996,16.7,21.6
82,19.1502,16.6,21.8
83,20.5338,18.5,22.6
84,19.2294,17.3,21.4
85,21.2462,18.4,24.3
