Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.0224,0.4,1.8
2,1.222,0.5,2
3,1.5806,1,2.2
4,1.3838,0.8,1.9
5,0.9922,0.4,1.7
6,1.903,1.3,2.6
7,1.409,0.8,2
8,1.9826,1.2,2.8
9,0.803,0.2,1.5
10,1.6132,0.9,2.4
11,1.2114,0.4,2.2
12,0.517,0.1,0.9
13,1.1048,0.4,1.9
14,1.1028,0.5,1.8
15,1.9056,1.2,2.8
16,2.0732,1.2,3.2
17,1.2042,0.5,2
18,1.6296,1.2,2.1
19,1.1914,0.6,1.8
20,2.979,1.7,4.4
21,2.2122,1.3,3.2
22,1.274,0.7,1.9
23,0.8862,0.3,1.6
24,1.6812,0.9,2.8
25,1.58,0.8,2.6
26,1.412,0.7,2.3
27,1.2828,0.7,2
28,1.1052,0.6,1.6
29,1.7052,1,2.4
30,1.0084,0.5,1.5
31,1.3206,0.5,2.2
32,1.3848,0.8,2
33,1.384,0.7,2.1
34,0.9996,0.3,1.7
35,1.206,0.6,1.8
36,1.3768,0.7,1.9
37,1.1066,0.5,1.9
38,1.7812,0.9,2.8
39,0.9538,0.3,1.7
40,1.5072,0.9,2.2
41,1.5136,0.9,2.1
42,1.4184,0.8,2
43,1.5978,0.8,2.5
44,1.2844,0.7,2
45,1.8088,1.2,2.4
46,1.4176,0.8,2
47,1.1014,0.4,2
48,1.9278,1,2.9
49,1.4232,0.7,2.3
50,1.7116,1,2.4
51,1.9376,1,2.8
52,2.539,1,4.3
53,1.6222,0.8,2.5
54,1.2096,0.7,1.7
55,1.0814,0.3,2.2
56,1.8738,1.3,2.4
57,1.2286,0.6,1.9
58,1.2014,0.8,1.7
59,1.4892,0.9,2.1
60,1.5796,0.9,2.2
61,1.4784,0.9,2.1
62,1.4144,0.8,2.1
63,1.7836,0.9,2.9
64,2.3024,1.6,3
65,1.6982,1.1,2.2
66,1.4108,1.1,1.7
67,1.7242,0.9,2.5
68,1.4056,0.6,2.3
69,0.9836,0.5,1.4
70,1.8152,1.2,2.5
71,1.1956,0.5,1.9
72,1.876,1,2.8
73,1.7026,1,2.4
74,1.0056,0.4,1.6
75,1.727,1.1,2.4
76,1.2138,0.7,1.6
77,1.3978,0.8,2.1
78,0.8992,0.5,1.3
79,1.5062,0.8,2.2
80,2.5554,1.4,3.8
81,1.1828,0.5,1.8
82,1.493,0.6,2.4
83,1.0252,0.5,1.7
84,1.5172,0.9,2.1
85,0.8296,0.4,1.3
