Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.1054,0,0.3
2,0.518,0,1.3
3,0.9188,0.4,1.5
4,1.4002,0.9,1.9
5,0.8196,0.3,1.5
6,0.7898,0.2,1.5
7,0.907,0.4,1.4
8,1.3084,0.8,1.8
9,1.5156,0.8,2.2
10,0.6862,0.2,1.2
11,0.9056,0.3,1.6
12,1.2014,0.6,1.9
13,0.5152,0.2,0.9
14,0.9126,0.4,1.5
15,0.9222,0.4,1.4
16,0.8096,0.3,1.4
17,1.2656,0.5,2
18,1.0078,0.3,1.8
19,1.3884,0.6,2.2
20,1.0996,0.7,1.5
21,1.2798,0.5,2.2
22,1.9982,1,3
23,1.782,1,2.6
24,1.076,0.5,1.7
25,0.8928,0.4,1.5
26,1.392,0.9,2.1
27,0.9978,0.6,1.4
28,1.4928,1.1,2
29,0.9962,0.6,1.4
30,1.0088,0.4,1.6
31,1.424,0.7,2.2
32,1.0172,0.5,1.5
33,1.2804,0.7,2
34,0.9044,0.4,1.6
35,0.8886,0.5,1.4
36,1.0026,0.2,1.8
37,0.946,0.1,2
38,0.6992,0.3,1.1
39,1.397,0.8,1.9
40,1.1892,0.4,2
41,1.0978,0.6,1.6
42,0.8186,0.5,1.2
43,1.0062,0.4,1.7
44,1.2792,0.5,2
45,1.2948,0.8,1.8
46,0.8992,0.5,1.3
47,1.006,0.5,1.7
48,1.5026,0.8,2.2
49,1.005,0.5,1.6
50,1.7422,0.8,2.8
51,0.9172,0.5,1.3
52,1.5072,0.8,2.2
53,1.923,1,3.2
54,1.2198,0.5,2.2
55,1.5186,0.8,2.3
56,0.8026,0.4,1.2
57,1.1716,0.5,2.1
58,1.2104,0.6,1.9
59,1.197,0.6,1.8
60,1.291,0.7,1.8
61,1.1778,0.5,2.1
62,0.9106,0.4,1.4
63,1.366,0.6,2.2
64,1.3032,0.7,2.2
65,1.8094,1.1,2.6
66,1.3194,0.6,2
67,0.9836,0.4,1.6
68,0.9988,0.3,1.7
69,0.7078,0.2,1.2
70,0.8126,0.3,1.5
71,1.5238,0.6,2.5
72,1.0956,0.4,1.8
73,0.9838,0.5,1.6
74,0.9062,0.4,1.4
75,1.1014,0.4,1.8
76,1.235,0.7,1.9
77,0.5992,0.1,1.1
78,1.102,0.7,1.5
79,0.7966,0.2,1.4
80,1.6008,1,2.2
81,1.83,1,2.7
82,1.2774,0.7,1.9
83,1.001,0.4,1.6
84,1.0176,0.5,1.7
85,1.3358,0.7,2.1
