Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.7114,0.3,1.2
2,1.0352,0.2,2.3
3,0.7156,0.1,1.5
4,1.0188,0.3,1.9
5,1.4294,0.3,3.2
6,0.7182,0.2,1.5
7,1.686,0.9,2.6
8,1.4784,0.6,2.5
9,1.388,0.5,2.5
10,1.1684,0.4,2.1
11,0.9654,0.1,2.1
12,1.3664,0.4,2.7
13,1.609,0.2,3.7
14,0.867,0.3,1.7
15,1.5586,0.6,2.9
16,1.21,0.4,2.1
17,1.6876,0.5,3.2
18,1.2138,0.2,2.6
19,1.3292,0.4,2.8
20,1.614,0.5,3.1
21,1.68,0.4,3.3
22,1.703,0.3,3.6
23,2.2628,1,3.7
24,2.0932,1.1,3.4
25,1.9698,0.7,3.5
26,1.6646,0.7,2.6
27,1.4242,0.5,2.7
28,2.5044,1.2,4.5
29,2.1554,0.6,4.3
30,2.345,1.2,3.9
31,3.28,1.8,5.2
32,3.1842,2,4.4
33,3.7044,2.5,5.1
34,3.258,2,4.9
35,3.3104,1.7,4.9
36,2.6122,1.2,4
37,1.742,0.5,3.4
38,2.1984,1.3,3.1
39,2.0176,0.9,3.4
40,0.9398,0.1,2
41,1.509,0.6,2.4
42,0.6044,0.2,1.2
43,0.7198,0,1.4
44,0.3162,0,0.9
45,1.1924,0.3,2.2
46,0.9818,0.3,1.7
47,0.88,0.1,2.1
48,0.9876,0,2.2
49,0.7812,0,1.7
50,0.9894,0,2.4
51,0.8866,0.1,1.8
52,1.0012,0.2,2
53,1.4028,0.6,2.3
54,1.96,1,3.2
55,1.2988,0.5,2.2
56,0.9814,0.3,1.8
57,1.7016,0.6,2.9
58,1.2674,0.3,2.5
59,1.263,0.4,2.3
60,1.148,0.2,2.4
61,1.8844,1.1,2.7
62,1.3746,0.6,2.2
63,2.0322,0.7,3.7
64,0.7068,0,1.5
65,2.192,0.7,3.7
66,1.1282,0.2,2.4
67,1.7516,0.3,3.8
68,1.1206,0.2,2.3
69,1.6124,0.4,3.1
70,1.4926,0.2,3.1
71,1.7044,0.5,3
72,1.0204,0.2,2
73,1.4236,0.3,2.9
74,0.5046,0.2,0.9
75,0.5024,0.1,1
76,0.3062,0,0.8
77,0.1036,0,0.3
78,0.1036,0,0.3
79,0,0,0
80,0.1036,0,0.3
81,0.4144,0,1.2
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
