,migration_event_number,calendar_date_of_import,latest_case_of_chain_calendar_date,size_of_chain,length_of_chain_days
0,62,2022-04-29,2022-08-09,9.0,101
1,134,2022-05-05,2022-08-24,9.0,110
2,33,2022-05-06,2022-12-04,53.0,212
3,267,2022-05-08,2022-07-13,11.0,66
4,81,2022-05-10,2022-09-26,18.0,139
5,19,2022-05-11,2022-07-25,7.0,75
6,56,2022-05-10,2022-05-12,1.0,1
7,91,2022-05-12,2022-10-18,4.0,159
8,240,2022-05-17,2023-01-16,14.0,244
9,72,2022-05-18,2023-06-16,14.0,394
10,126,2022-05-20,2022-09-27,4.0,129
11,68,2022-05-21,2022-06-22,2.0,31
12,132,2022-05-20,2022-09-07,8.0,110
13,27,2022-05-23,2022-06-08,2.0,15
14,251,2022-05-24,2022-05-27,1.0,3
15,114,2022-05-25,2022-09-09,9.0,106
16,100,2022-05-26,2022-10-07,3.0,134
17,59,2022-05-28,2022-07-13,2.0,46
18,217,2022-05-27,2022-06-17,2.0,21
19,225,2022-05-27,2022-05-30,1.0,3
20,196,2022-05-28,2022-09-28,2.0,123
21,236,2022-05-30,2022-07-21,3.0,51
22,129,2022-05-30,2022-07-15,4.0,46
23,270,2022-05-30,2022-08-03,3.0,65
24,55,2022-05-31,2022-09-06,2.0,98
25,9,2022-06-01,2023-03-30,15.0,302
26,61,2022-05-31,2022-07-01,2.0,31
27,32,2022-05-31,2022-09-04,2.0,95
28,261,2022-06-02,2022-07-01,3.0,29
29,38,2022-06-02,2022-09-01,2.0,90
30,58,2022-06-02,2022-10-05,4.0,124
31,44,2022-06-03,2022-08-02,3.0,60
32,213,2022-06-04,2022-06-08,1.0,3
33,30,2022-06-03,2022-06-06,1.0,3
34,101,2022-06-03,2022-06-07,1.0,3
35,248,2022-06-04,2022-06-12,2.0,7
36,219,2022-06-04,2022-06-08,1.0,3
37,246,2022-06-06,2022-06-15,2.0,9
38,113,2022-06-06,2022-06-10,1.0,4
39,266,2022-06-04,2022-06-08,1.0,3
40,13,2022-06-06,2022-11-07,2.0,154
41,71,2022-06-06,2022-06-10,1.0,3
42,203,2022-06-05,2022-06-08,1.0,2
43,238,2022-06-06,2022-06-09,1.0,3
44,66,2022-06-06,2022-06-09,1.0,2
45,202,2022-06-06,2022-06-09,1.0,3
46,102,2022-06-06,2022-06-09,1.0,3
47,42,2022-06-07,2022-06-11,1.0,4
48,198,2022-06-07,2022-06-10,1.0,3
49,124,2022-06-07,2022-06-10,1.0,3
50,64,2022-06-09,2022-08-10,3.0,62
51,271,2022-06-08,2022-07-13,2.0,35
52,201,2022-06-06,2022-06-10,1.0,3
53,179,2022-06-08,2022-06-12,1.0,3
54,54,2022-06-08,2022-08-26,2.0,79
55,146,2022-06-07,2022-06-10,1.0,2
56,22,2022-06-07,2022-06-17,2.0,9
57,98,2022-06-10,2022-06-14,1.0,4
58,204,2022-06-09,2022-06-13,1.0,4
59,208,2022-06-08,2022-06-12,1.0,3
60,255,2022-06-09,2022-06-13,1.0,4
61,212,2022-06-10,2022-06-13,1.0,3
62,29,2022-06-10,2022-06-14,1.0,4
63,41,2022-06-10,2022-06-14,1.0,3
64,220,2022-06-10,2022-07-26,2.0,46
65,257,2022-06-11,2022-07-27,2.0,46
66,230,2022-06-09,2022-06-12,1.0,3
67,273,2022-06-10,2022-06-15,1.0,4
68,254,2022-06-10,2022-06-14,1.0,4
69,49,2022-06-10,2022-06-13,1.0,3
70,92,2022-06-10,2022-06-13,1.0,3
71,168,2022-06-09,2022-08-30,2.0,81
72,57,2022-06-11,2022-06-15,1.0,4
73,46,2022-06-11,2022-06-15,1.0,4
74,80,2022-06-11,2022-06-15,1.0,3
75,210,2022-06-11,2022-06-15,1.0,3
76,263,2022-06-11,2022-06-15,1.0,4
77,241,2022-06-11,2022-06-15,1.0,4
78,45,2022-06-13,2022-10-14,6.0,122
79,16,2022-06-12,2022-06-16,1.0,3
80,265,2022-06-12,2022-06-16,1.0,4
81,25,2022-06-13,2022-06-17,1.0,4
82,51,2022-06-15,2022-06-20,1.0,5
83,70,2022-06-13,2022-06-16,1.0,3
84,205,2022-06-15,2022-06-20,1.0,5
85,65,2022-06-15,2022-06-20,1.0,5
86,157,2022-06-16,2022-06-22,1.0,5
87,17,2022-06-17,2022-09-16,5.0,91
88,247,2022-06-17,2022-07-28,2.0,41
89,237,2022-06-16,2022-09-07,6.0,83
90,258,2022-06-16,2022-06-22,1.0,5
91,82,2022-06-19,2022-06-24,1.0,5
92,125,2022-06-16,2022-06-22,1.0,5
93,5,2022-06-16,2022-06-22,1.0,5
94,97,2022-06-18,2022-06-23,1.0,5
95,252,2022-06-17,2022-06-22,1.0,5
96,209,2022-06-17,2022-06-22,1.0,5
97,2,2022-06-15,2022-06-20,1.0,4
98,106,2022-06-18,2022-06-23,1.0,5
99,6,2022-06-17,2022-06-22,1.0,4
100,200,2022-06-18,2022-06-24,1.0,6
101,195,2022-06-18,2022-06-23,1.0,4
102,7,2022-06-21,2022-06-27,1.0,5
103,250,2022-06-22,2022-06-28,1.0,6
104,43,2022-06-23,2022-06-30,1.0,7
105,268,2022-06-21,2022-06-27,1.0,6
106,4,2022-06-21,2022-06-27,1.0,6
107,12,2022-06-21,2022-12-22,15.0,184
108,122,2022-06-23,2022-06-29,1.0,6
109,256,2022-06-22,2022-06-29,1.0,6
110,130,2022-06-24,2022-07-01,1.0,7
111,221,2022-06-24,2022-07-01,1.0,7
112,93,2022-06-26,2022-08-05,2.0,39
113,133,2022-06-23,2022-06-30,1.0,6
114,1,2022-06-26,2022-07-15,2.0,19
115,52,2022-06-27,2022-08-08,2.0,41
116,53,2022-06-26,2022-07-03,1.0,7
117,211,2022-06-25,2022-07-01,1.0,6
118,31,2022-06-28,2022-07-05,1.0,7
119,260,2022-06-28,2022-08-10,2.0,42
120,63,2022-06-30,2022-07-09,1.0,9
121,8,2022-06-28,2022-07-06,1.0,8
122,253,2022-07-04,2022-07-15,1.0,11
123,88,2022-07-03,2022-07-13,1.0,10
124,232,2022-07-01,2022-09-20,4.0,81
125,235,2022-07-02,2022-07-13,1.0,10
126,48,2022-07-07,2022-07-18,1.0,11
127,249,2022-07-05,2022-07-14,1.0,9
128,79,2022-07-14,2022-07-26,1.0,12
129,226,2022-07-09,2022-07-20,1.0,10
130,262,2022-07-13,2022-11-18,8.0,128
131,197,2022-07-17,2022-07-28,1.0,10
132,190,2022-07-16,2022-07-29,1.0,13
133,104,2022-07-21,2022-08-05,1.0,14
134,108,2022-07-22,2022-08-05,1.0,13
135,96,2022-07-23,2022-08-05,1.0,13
136,227,2022-07-27,2022-09-12,2.0,46
137,60,2022-07-25,2022-09-06,4.0,42
138,94,2022-07-22,2022-08-05,1.0,14
139,207,2022-07-27,2022-08-08,1.0,12
140,99,2022-07-24,2022-08-05,1.0,11
141,107,2022-07-24,2022-08-05,1.0,12
142,110,2022-07-23,2022-08-05,1.0,13
143,95,2022-07-23,2022-08-05,1.0,12
144,115,2022-07-24,2022-08-05,1.0,11
145,109,2022-07-25,2022-08-05,1.0,11
146,259,2022-07-31,2023-02-08,5.0,192
147,244,2022-08-01,2022-08-17,1.0,16
148,223,2022-08-01,2022-08-16,1.0,14
149,26,2022-07-29,2022-09-19,2.0,52
150,103,2022-08-04,2022-08-18,1.0,14
151,47,2022-07-31,2022-09-07,3.0,38
152,40,2022-08-07,2022-09-14,2.0,38
153,239,2022-08-05,2022-08-18,1.0,12
154,3,2022-08-08,2022-09-04,3.0,27
155,10,2022-08-09,2022-12-14,6.0,127
156,228,2022-08-10,2022-08-25,1.0,15
157,39,2022-08-05,2022-09-09,3.0,35
158,131,2022-08-04,2022-09-16,4.0,42
159,24,2022-08-07,2022-08-19,1.0,12
160,264,2022-08-07,2022-10-19,6.0,72
161,199,2022-08-11,2022-08-24,1.0,12
162,119,2022-08-10,2022-09-09,3.0,30
163,269,2022-08-08,2022-08-22,1.0,13
164,35,2022-08-09,2022-08-22,1.0,13
165,234,2022-08-10,2022-10-14,4.0,65
166,90,2022-08-06,2022-08-23,1.0,16
167,111,2022-08-12,2022-09-14,2.0,33
168,89,2022-08-13,2022-09-20,3.0,38
169,224,2022-08-14,2022-08-30,1.0,16
170,231,2022-08-15,2022-08-30,1.0,14
171,21,2022-08-20,2022-09-04,1.0,14
172,214,2022-08-25,2022-09-06,1.0,12
173,112,2022-08-24,2022-09-06,1.0,13
174,215,2022-08-23,2022-09-03,1.0,11
175,229,2022-08-27,2022-09-08,1.0,12
176,222,2022-08-31,2022-09-11,1.0,11
177,116,2022-09-02,2022-09-21,2.0,18
178,28,2022-09-04,2022-09-13,1.0,9
179,245,2022-09-03,2022-09-14,1.0,11
180,20,2022-09-09,2022-09-19,1.0,9
181,23,2022-09-12,2022-09-21,1.0,8
182,117,2022-09-12,2022-10-23,4.0,40
183,15,2022-09-15,2022-11-05,2.0,51
184,69,2022-09-16,2022-09-26,1.0,9
185,206,2022-09-23,2022-10-01,1.0,7
186,242,2022-09-29,2023-01-09,7.0,102
187,243,2022-10-06,2022-10-14,1.0,7
188,18,2022-10-10,2022-12-06,4.0,57
189,120,2022-10-27,2022-10-31,1.0,4
190,118,2022-11-02,2022-11-07,1.0,5
191,272,2022-11-02,2022-11-07,1.0,4
192,105,2022-11-05,2022-11-09,1.0,4
193,11,2022-11-22,2022-11-29,1.0,7
194,121,2022-11-23,2022-12-06,2.0,13
195,34,2022-11-26,2022-12-02,1.0,6
196,136,2022-11-27,2023-01-03,2.0,37
197,14,2022-11-30,2022-12-07,1.0,7
198,36,2022-11-30,2022-12-06,1.0,6
199,123,2022-12-08,2022-12-16,1.0,7
200,233,2022-12-10,2022-12-18,1.0,7
201,218,2022-12-12,2022-12-19,1.0,7
202,50,2022-12-29,2023-01-06,1.0,8
203,67,2023-01-03,2023-01-14,1.0,11
204,139,2023-01-02,2023-12-15,34.0,347
205,216,2023-01-27,2023-02-04,1.0,8
206,127,2023-01-26,2023-03-08,3.0,41
207,151,2023-02-13,2023-05-24,8.0,100
208,150,2023-03-01,2023-05-22,2.0,81
209,152,2023-03-06,2023-05-03,2.0,58
210,135,2023-03-13,2023-03-20,1.0,6
211,128,2023-03-15,2023-03-22,1.0,6
212,83,2023-03-25,2023-04-03,1.0,8
213,156,2023-04-03,2023-05-18,3.0,44
214,155,2023-05-01,2023-05-06,1.0,5
215,74,2023-05-01,2023-07-04,3.0,63
216,148,2023-05-18,2023-06-21,2.0,34
217,149,2023-05-21,2023-05-24,1.0,2
218,76,2023-05-24,2023-05-27,1.0,3
219,73,2023-06-14,2023-06-28,2.0,14
220,141,2023-06-19,2023-06-22,1.0,3
221,153,2023-06-19,2023-06-23,1.0,3
222,145,2023-06-24,2023-06-27,1.0,3
223,84,2023-07-09,2023-07-12,1.0,3
224,142,2023-07-11,2023-07-14,1.0,3
225,160,2023-07-16,2023-07-19,1.0,3
226,75,2023-07-16,2023-07-20,1.0,3
227,162,2023-07-23,2023-07-28,1.0,4
228,85,2023-07-27,2023-07-31,1.0,4
229,171,2023-08-10,2023-12-25,6.0,137
230,178,2023-08-14,2023-09-21,2.0,38
231,174,2023-08-17,2023-11-14,2.0,89
232,77,2023-08-17,2023-10-12,3.0,56
233,147,2023-08-22,2023-09-12,2.0,20
234,175,2023-08-28,2024-01-03,7.0,128
235,137,2023-08-25,2023-09-01,1.0,7
236,154,2023-08-28,2023-09-06,1.0,9
237,164,2023-09-11,2023-09-20,1.0,9
238,144,2023-09-16,2023-09-28,1.0,11
239,37,2023-09-16,2024-07-20,9.0,307
240,163,2023-10-04,2023-10-16,1.0,11
241,177,2023-10-07,2024-01-08,5.0,93
242,173,2023-10-11,2023-10-25,1.0,13
243,170,2023-10-15,2023-10-25,1.0,10
244,165,2023-10-19,2023-10-31,1.0,12
245,143,2023-10-21,2023-11-02,1.0,12
246,78,2023-11-04,2024-01-03,2.0,60
247,138,2023-11-11,2023-12-18,2.0,37
248,172,2023-12-05,2023-12-21,1.0,15
249,86,2023-12-14,2023-12-27,1.0,12
250,188,2024-01-23,2024-01-31,1.0,8
251,140,2024-02-08,2024-07-22,5.0,164
252,182,2024-02-15,2024-06-20,3.0,125
253,192,2024-02-29,2024-05-13,3.0,74
254,193,2024-03-11,2024-07-18,3.0,128
255,166,2024-03-15,2024-03-22,1.0,6
256,181,2024-03-23,2024-05-22,3.0,60
257,158,2024-03-20,2024-03-27,1.0,7
258,180,2024-03-27,2024-05-09,4.0,43
259,159,2024-03-28,2024-06-20,2.0,83
260,161,2024-03-31,2024-07-22,2.0,112
261,185,2024-03-31,2024-04-10,1.0,10
262,176,2024-04-19,2024-07-25,5.0,96
263,189,2024-04-13,2024-04-25,1.0,11
264,191,2024-04-24,2024-08-08,11.0,105
265,187,2024-04-27,2024-05-16,1.0,18
266,184,2024-04-24,2024-05-13,1.0,18
267,186,2024-05-01,2024-05-19,1.0,17
268,183,2024-05-12,2024-07-27,11.0,75
269,167,2024-05-05,2024-05-22,1.0,17
270,87,2024-05-29,2024-06-19,1.0,21
271,194,2024-06-12,2024-07-04,1.0,21
272,169,2024-07-18,2024-07-30,1.0,11
