Week,Mean,LowerBound,UpperBound
0,0,0,0
1,95.1308,90.6,99
2,97.607,90.4,104.6
3,91.9422,86.8,97.2
4,92.4558,86.4,99.8
5,93.857,87.5,101.2
6,90.8178,86.5,95.3
7,92.7698,86.8,98.9
8,93.8036,90.8,96.6
9,92.7068,88,98.6
10,99.34,96.2,102.6
11,96.8378,92,101.9
12,93.6572,87.2,100.4
13,95.9706,91.5,100
14,97.6144,91.8,104.8
15,94.9002,90.2,99.3
16,93.4852,86.3,100.6
17,91.0382,84.3,97.8
18,92.7618,85.8,101.5
19,92.8704,86.6,99.9
20,90.2102,86.3,94
21,96.452,91.2,101.5
22,91.0938,85,97.2
23,91.8192,86.1,98.1
24,91.7398,87.7,95.8
25,91.7836,87,96.6
26,88.0816,83.1,92.9
27,102.442,98,108.3
28,91.789,86,97.9
29,92.8004,86.3,98.8
30,90.2266,83.8,96.8
31,95.1954,89.4,101.6
32,96.2046,89.4,102.4
33,88.3578,83,93.8
34,90.2614,86.3,95.3
35,95.5514,90.5,100
36,91.6,89.1,93.8
37,101.0286,94.2,107.5
38,90.8848,85.7,95.7
39,91.48,87.3,95.1
40,94.3852,86.9,101
41,90.156,84.3,94.7
42,92.5898,86.6,98.6
43,86.8094,78.8,94.5
44,91.9982,85.9,97.2
45,89.5766,83.9,95.9
46,93.2294,89.4,97.1
47,94.4672,87.1,101.8
48,89.294,83.2,95.4
49,91.9784,87.3,96.5
50,91.5596,84.8,97.5
51,90.602,85.9,95.7
52,95.486,89.1,102.7
53,89.0186,84.4,92.8
54,93.225,88.3,98.6
55,94.7966,88.4,101.6
56,97.6066,92.5,102.9
57,88.4166,85.9,90.8
58,97.1988,92.5,102.3
59,87.8108,81.4,93.5
60,94.6458,89.2,99.5
61,93.9748,87.6,99.1
62,93.1704,87.2,99.5
63,87.2292,81.7,92.7
64,95.9536,91.7,100.1
65,93.688,89.1,98.5
66,93.2774,87.5,99
67,88.5072,85.7,91.2
68,87.435,79.9,94.3
69,89.09,84.3,94.1
70,91.2364,86.2,96.3
71,91.3866,85.3,97.5
72,91.3322,86.1,96
73,87.2818,81.9,92.7
74,83.9594,78.4,90.4
75,92.0456,87,97.3
76,93.7906,88.7,98.6
77,91.2484,86.7,95.6
78,89.013,81.5,97.2
79,89.4954,83.3,95.3
80,88.2234,82,93.6
81,90.4328,83.1,98.2
82,89.4444,87.1,91.8
83,89.6968,86.4,92.7
84,89.275,84.2,94.4
85,86.936,80.9,92.3
