Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.8166,0.5,1.2
2,0.5078,0.1,0.9
3,0.4028,0,0.8
4,0.4072,0.1,0.7
5,0.8198,0.1,1.8
6,0.7938,0.2,1.5
7,0.8086,0.3,1.3
8,1.9722,0.7,3.6
9,1.3024,0.6,2.2
10,1.791,0.9,2.7
11,1.7204,0.4,3.4
12,2.1416,1.2,3.3
13,2.5256,1.8,3.5
14,2.0326,0.8,3.4
15,2.4342,1.2,3.9
16,3.0066,1.4,4.9
17,2.034,0.8,3.5
18,1.799,1.2,2.4
19,1.4054,0.6,2.3
20,1.3278,0.7,1.9
21,1.9298,1,3.1
22,2.137,1.2,3.1
23,2.5752,1,4.4
24,2.8294,1.7,4.2
25,1.2914,0.8,1.8
26,2.7046,1.8,3.5
27,3.5382,2.5,4.6
28,3.8556,2.5,5.5
29,3.4214,2.3,4.6
30,3.7832,2.4,5.2
31,2.8046,2,3.6
32,4.2236,3.1,5.3
33,4.889,3.7,6.1
34,3.9164,2.2,5.7
35,3.6408,1.8,5.8
36,1.315,0.5,2.3
37,3.721,2.6,4.8
38,1.9162,1,3
39,3.4686,1.8,5.4
40,1.795,1.1,2.5
41,0.822,0.5,1.2
42,1.4078,0.9,2.1
43,1.9514,0.7,3.2
44,2.352,0.9,4.5
45,1.7414,0.9,2.7
46,1.925,0.9,3.2
47,0.9136,0.4,1.5
48,1.95,0.6,3.3
49,1.1202,0.4,1.9
50,3.2534,1.6,5.1
51,1.752,0.6,3.3
52,1.3464,0.3,2.5
53,1.5358,0.4,2.9
54,1.2258,0.5,2.1
55,2.2246,0.6,4.3
56,2.2406,0.6,4
57,2.4352,1,4
58,3.7888,1.2,6.9
59,0.4076,0,0.8
60,0.2928,0,0.7
61,0.9992,0.3,1.9
62,0.4044,0,1
63,1.1096,0.3,2
64,1.4066,0.5,2.2
65,1.67,0.2,3.6
66,1.22,0.3,2.2
67,2.353,0.7,4.5
68,1.2384,0.3,2.4
69,0.8236,0.2,1.5
70,2.5862,0.8,4.6
71,1.225,0.4,2
72,1.2276,0.4,2.2
73,0.8246,0.3,1.6
74,1.7706,0.6,3.2
75,0.7288,0.2,1.4
76,1.0426,0.3,1.8
77,0.7274,0.2,1.4
78,1.3526,0.4,2.4
79,0.939,0.3,1.8
80,0.8354,0.2,1.6
81,0.7328,0.1,1.5
82,0.7314,0.1,1.5
83,1.1532,0.2,2.3
84,0.1036,0,0.3
85,0.8392,0.1,1.8
