Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.644,1,2.3
2,0.8086,0.3,1.4
3,0.6074,0,1.2
4,1.0054,0.3,1.7
5,1.711,0.7,2.8
6,2.268,0.7,4.1
7,3.092,1.6,4.6
8,4.0814,2.1,6.1
9,3.4218,1.6,5
10,4.0842,2.3,5.7
11,3.9366,1.5,6.5
12,4.1406,2.3,6.1
13,5.0356,3.4,6.8
14,3.9408,2.4,5.7
15,5.8466,3.5,8.2
16,5.0346,2.7,7.9
17,3.7152,2,5.8
18,3.8224,2,6
19,3.7416,1.7,5.7
20,1.899,1.2,2.5
21,4.8876,3.1,7
22,4.3002,2.5,6.3
23,5.1498,2.5,8.4
24,6.4962,3.9,9.6
25,2.5042,1.8,3.1
26,5.0624,3.5,6.6
27,6.8132,4.7,8.8
28,7.0056,4.9,9.5
29,6.9446,4.9,9.2
30,6.6154,4.2,8.9
31,5.6584,3.3,7.9
32,8.832,6.1,11.6
33,9.7896,7.8,11.7
34,8.9334,5.9,11.9
35,8.4656,5.1,12
36,3.0376,1.9,4.2
37,6.2194,5,7.4
38,4.7302,2.8,7.1
39,6.3818,4.5,8.9
40,5.217,3.9,6.5
41,1.8426,1,2.8
42,3.345,2,4.8
43,4.204,2.1,6.2
44,3.8046,1.9,6.3
45,3.7904,1.7,6
46,4.781,2.3,7.9
47,1.328,0.5,2.3
48,3.5636,1.7,5.9
49,2.1448,0.6,3.8
50,4.1886,1.9,6.9
51,3.8142,1.1,6.8
52,3.6252,0.6,7.5
53,3.125,1.1,5.4
54,3.0746,1.4,5.1
55,3.845,1.5,6.7
56,3.8732,1.2,6.8
57,4.0612,1.8,6.5
58,5.6434,1.7,10.6
59,0.8238,0.1,1.7
60,1.1058,0.4,1.9
61,2.5182,1,4.7
62,0.7064,0.1,1.3
63,2.3134,1,3.9
64,3.15,1.3,5.5
65,2.3806,0.4,4.9
66,2.5434,0.6,4.8
67,4.097,1.3,7.5
68,2.2494,0.6,4.2
69,2.3524,0.8,4.3
70,4.4114,1.8,7.3
71,2.7654,0.9,4.6
72,2.46,1.1,4
73,2.8834,1.4,4.9
74,3.4378,1.1,6
75,1.9846,0.6,3.6
76,2.5092,0.7,4.6
77,2.3912,0.8,4.2
78,2.61,0.9,4.8
79,2.5086,0.8,4.6
80,1.355,0.2,2.6
81,1.363,0.2,2.9
82,1.885,0.3,3.8
83,1.8826,0.5,3.6
84,0.1036,0,0.3
85,1.0482,0.1,2.3
