Week,Mean,LowerBound,UpperBound
0,0,0,0
1,93.4368,87.4,99.2
2,98.6056,92.5,104.6
3,96.115,92.5,100.4
4,95.6884,91.9,99.9
5,94.8722,90.5,100
6,97.772,93.7,102.4
7,96.8478,90.5,103.4
8,91.0404,86.5,95
9,90.6426,83.9,96.8
10,94.6876,89.9,99.4
11,95.0706,91.2,99.7
12,99.023,93.5,104.6
13,90.0352,82.6,96.4
14,95.0344,89.9,100.2
15,96.1028,92,99.7
16,91.3054,85.5,97.2
17,93.5188,87.9,99.6
18,90.5158,86.9,94.1
19,96.2748,90.2,102.9
20,96.0906,90.7,102.3
21,90.2248,82.8,97.6
22,92.3618,87.8,97
23,89.5344,85.9,93
24,92.7774,85,101.7
25,93.0646,89.1,96.6
26,97.437,92.9,102
27,95.9172,91.4,100.6
28,97.669,92.6,102.5
29,94.7152,89.3,100.4
30,93.6946,87.8,99.2
31,90.6728,86.6,95
32,93.2856,87.1,98.9
33,93.2052,87.1,99.1
34,89.9996,84.4,95.1
35,91.0066,84.1,98.7
36,88.5958,84.6,92.5
37,94.053,86.6,100.7
38,98.0838,91.5,105.7
39,100.4878,92.2,107
40,90.478,83.8,97.6
41,87.4696,82.8,92.2
42,94.6208,88.3,99.7
43,98.4454,93.8,103.7
44,97.2894,92,101.9
45,90.3558,84.1,96.9
46,90.8508,86.1,95.8
47,89.6732,84.8,94.3
48,93.4056,86.5,100.5
49,89.0294,83.6,95.5
50,91.972,86.2,98
51,86.7244,80.8,93.2
52,87.522,83.6,91.1
53,92.0224,85.9,99.2
54,91.9682,87.3,98.3
55,100.1124,94.4,106.5
56,91.7182,86.7,96.9
57,89.771,83.2,96.1
58,93.1236,85.3,101.2
59,89.2652,83.3,96.2
60,90.6208,82.8,97.3
61,91.691,84.4,100
62,94.8554,90,99.7
63,88.4768,85.4,92
64,91.197,85.2,97.3
65,86.3876,80.5,92.7
66,91.9568,86,98.8
67,95.9172,89.4,102.2
68,87.9618,82.3,94.8
69,95.9884,91.4,100.9
70,91.7852,87.6,95.6
71,94.096,87.1,101.6
72,89.2046,84.1,93.3
73,88.768,83.8,93.5
74,93.2118,86.9,98.5
75,88.6456,83.5,93.8
76,91.3846,84.9,97.9
77,88.7776,82.3,94.5
78,90.1208,84.9,93.9
79,89.3384,84.8,94.1
80,88.765,84.5,93.5
81,85.6934,79.4,91.6
82,87.796,82.4,92.5
83,87.306,82.7,91.1
84,89.476,84.5,93.7
85,88.87,83.9,95
