Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.0046,0.7,1.3
2,0.5814,0.2,1
3,1.0158,0.4,1.7
4,1.6684,0.8,2.6
5,1.184,0.7,1.7
6,1.1876,0.4,2.2
7,0.4998,0.1,1.1
8,1.1674,0.4,2.1
9,0.7044,0.2,1.3
10,1.0814,0.4,1.8
11,1.252,0.2,2.3
12,1.7698,0.8,2.8
13,1.9864,0.8,3.7
14,1.3974,0.7,2.1
15,1.8024,0.8,2.8
16,2.8524,1.4,4.5
17,1.7976,1,2.5
18,1.8072,0.8,2.6
19,2.7652,1.3,4.8
20,2.101,0.7,3.7
21,1.7016,0.8,2.8
22,1.881,0.8,3.1
23,3.2054,1.7,5.4
24,3.2812,1.2,5.9
25,2.6702,1.5,3.9
26,2.9132,1.3,5
27,2.304,1.2,3.3
28,3.1212,1.3,5.3
29,3.3958,1.9,4.7
30,3.456,2,5
31,2.1134,1.4,2.9
32,3.5934,2,5.2
33,2.4618,1.4,3.6
34,2.8568,1.8,4
35,2.056,1.3,2.8
36,2.7244,1.4,4.3
37,2.1762,1.6,2.8
38,2.2158,1.3,3.3
39,1.3852,0.7,2.3
40,1.091,0.5,1.8
41,0.8922,0.4,1.6
42,0.5996,0.2,1
43,1.3798,0.9,1.9
44,0.6828,0.3,1.1
45,1.0858,0.4,1.9
46,0.8698,0,2.3
47,0.9748,0.5,1.5
48,0.815,0.4,1.3
49,0.7934,0.2,1.7
50,0.5824,0.1,1.2
51,0.284,0,0.6
52,0.7654,0.1,1.6
53,0.5748,0.1,1.2
54,0.5918,0.2,1
55,1.0022,0.1,2
56,0.694,0.2,1.3
57,1.1204,0.4,1.9
58,1.476,0.4,2.9
59,1.0988,0.2,2.2
60,0.5816,0,1.3
61,0.9788,0.2,2.1
62,0.779,0.1,1.7
63,0.4946,0.1,0.9
64,0.4922,0.1,0.9
65,1.0058,0.3,1.9
66,1.0756,0.2,2.1
67,1.5784,0.8,2.5
68,1.8704,0.8,3
69,1.3614,0.6,2.3
70,1.462,0.6,2.4
71,2.1608,0.8,3.7
72,2.3692,1.3,4
73,1.5972,1,2.4
74,2.2752,0.8,4.1
75,2.2852,0.8,4.1
76,1.9026,1,2.9
77,1.582,0.6,2.7
78,1.824,0.9,3
79,2.0332,0.6,4.1
80,1.092,0.2,2.2
81,1.411,0.5,2.5
82,2.1984,0.9,3.8
83,1.8196,0.7,3.2
84,1.3106,0.2,2.7
85,0.3968,0,1
