Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.6896,0.2,1.2
2,1.3896,0.8,2
3,1.47,0.7,2.3
4,1.5006,0.8,2.3
5,1.769,0.7,3.8
6,0.2016,0,0.5
7,1.2662,0.5,2.2
8,0.6996,0.3,1.1
9,1.2846,0.5,2.3
10,1.368,0.4,2.4
11,1.7516,0.6,3
12,1.9884,0.9,3.1
13,2.003,0.7,3.2
14,1.8556,0.8,3.1
15,3.1942,1.4,5
16,1.7798,0.8,2.8
17,1.9122,0.8,3.2
18,2.7812,1.3,4.5
19,2.5998,1.1,4.3
20,0.9038,0.4,1.5
21,2.866,1.3,4.5
22,3.4064,1.7,5.9
23,3.7626,1.9,5.9
24,4.2906,2,7
25,1.917,0.8,3.2
26,2.982,1.5,4.5
27,2.812,1.4,4.4
28,3.8816,2.1,5.8
29,3.7952,2.3,5.6
30,1.1976,0.6,1.9
31,3.67,2.1,5.4
32,3.2638,2.2,4.6
33,3.9012,2.5,5.4
34,1.0902,0.5,1.9
35,2.8576,1.8,4.2
36,1.5958,1.1,2.2
37,2.784,1.5,4.2
38,0.7876,0.3,1.4
39,1.4718,0.5,2.6
40,0.8036,0.2,1.5
41,0.401,0,0.8
42,1.4524,0.7,2.4
43,1.1944,0.7,1.8
44,0.9666,0.1,2.4
45,1.3756,0.4,2.8
46,0.9804,0.5,1.5
47,0.4104,0,0.9
48,0.9676,0.4,1.8
49,0.5974,0.1,1.2
50,0.3972,0.1,0.7
51,0.6648,0,1.3
52,0.4712,0,1.1
53,0.695,0.2,1.4
54,0.8126,0.1,1.6
55,0.9872,0.2,2
56,1.489,0.6,2.5
57,1.4808,0.3,3.1
58,1.516,0.4,2.7
59,0.4858,0,1
60,0.4692,0,1.3
61,0.7926,0,1.8
62,0.4858,0,1
63,1.187,0.4,2.2
64,0.7972,0.3,1.4
65,1.1834,0.5,1.8
66,1.2884,0.2,2.6
67,2.0652,0.9,3.2
68,1.434,0.5,2.6
69,1.6782,0.5,3.4
70,2.2822,1.2,3.3
71,2.241,0.9,3.8
72,3.0754,1.7,4.6
73,2.1966,0.6,4.3
74,2.0798,0.9,3.5
75,2.4848,1.2,3.7
76,1.6094,0.3,3.6
77,1.526,0.6,2.6
78,1.823,0.8,3.1
79,0.8014,0.1,1.7
80,2.2048,1.2,3.4
81,2.4008,0.7,4.6
82,1.8792,0.8,3
83,1.3252,0,3.1
84,0.2072,0,0.6
85,1.3096,0.2,2.6
