Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.1036,0,0.3
2,1.0884,0.5,1.6
3,1.4936,0.7,2.6
4,2.4696,1.3,3.7
5,1.9746,1.1,3.1
6,1.9834,0.8,3.7
7,1.188,0.6,2
8,2.182,1.2,3.5
9,2.2192,0.8,3.8
10,1.9556,1.1,2.7
11,2.661,1,4.3
12,2.457,1.2,3.8
13,3.4916,1.9,5.6
14,3.3326,2.1,4.6
15,3.375,1.5,5.1
16,5.212,2.6,8.1
17,2.989,2,3.9
18,4.8174,2.9,6.9
19,5.148,2.6,8.1
20,3.5702,1.7,5.7
21,2.684,1.2,4.7
22,4.201,2.2,6.5
23,5.7304,3.2,8.7
24,5.6578,2.8,9
25,4.967,2.8,7.7
26,3.5996,2,6
27,4.6758,2.4,6.8
28,5.102,2.6,7.8
29,5.8546,3.4,8.3
30,6.5074,4.3,9.1
31,4.315,3.2,5.4
32,5.4696,3.3,7.5
33,5.4368,3.6,7.4
34,5.9392,4.2,7.7
35,4.3544,2.7,5.9
36,4.9152,2.8,7.3
37,3.8578,2.6,5.1
38,3.5076,2.4,4.8
39,1.9836,1.2,3
40,2.2984,1.4,3.2
41,2.2642,1.2,3.5
42,1.6036,0.9,2.3
43,2.1854,1.6,2.7
44,1.4934,0.6,2.5
45,1.8622,0.7,3.4
46,1.2842,0.2,2.8
47,1.3572,0.6,2.4
48,1.0236,0.4,1.7
49,2.0046,0.9,3.3
50,0.6748,0.1,1.3
51,0.6942,0.2,1.2
52,1.2556,0.6,2.2
53,1.0566,0.3,2.1
54,1.1598,0.4,2
55,1.1058,0.1,2.2
56,1.2668,0.2,2.6
57,1.9728,0.7,3.6
58,2.179,0.8,4
59,2.2656,0.8,4.4
60,1.5512,0.4,3.3
61,1.5636,0.6,2.9
62,1.7744,0.8,2.9
63,1.272,0.4,2.2
64,1.275,0.4,2.2
65,1.8002,0.6,3.3
66,1.866,0.6,3.2
67,2.789,1.2,4.5
68,2.451,0.9,4.2
69,2.3438,0.8,4.4
70,2.3608,1.1,4
71,3.7024,1.8,5.5
72,3.4084,2,4.8
73,3.2736,1.6,5.4
74,4.2796,2.1,7.1
75,3.469,1,6.8
76,3.3076,1.6,5.3
77,2.7944,1.2,4.7
78,2.8012,1.1,4.9
79,3.4606,1.2,6.7
80,2.7158,0.9,5.2
81,2.5244,0.9,4.7
82,3.2018,1.2,5.5
83,2.7312,1,5.1
84,1.7142,0.2,3.5
85,1.3162,0.5,2.4
