Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.0954,0.7,1.5
2,1.0062,0.5,1.5
3,0.7072,0.4,1
4,0.1036,0,0.3
5,0,0,0
6,0.2076,0,0.5
7,0.0989999999999999,0,0.3
8,0.208,0,0.5
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0.1026,0,0.3
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0.105,0,0.3
22,0.3998,0,0.9
23,0.0989999999999999,0,0.3
24,0,0,0
25,0.4038,0.1,0.7
26,0.301,0,0.6
27,0.2926,0,0.7
28,0.0989999999999999,0,0.3
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0.0967999999999999,0,0.3
36,0.1026,0,0.3
37,0.0991999999999999,0,0.3
38,0.0991999999999999,0,0.3
39,0,0,0
40,0,0,0
41,0,0,0
42,0.105,0,0.3
43,0.21,0,0.6
44,0.2018,0,0.5
45,0.2918,0,0.6
46,0.3896,0.1,0.7
47,0,0,0
48,0.1036,0,0.3
49,0.1036,0,0.3
50,0,0,0
51,0.0947999999999999,0,0.3
52,0.1036,0,0.3
53,0.1036,0,0.3
54,0.1936,0,0.5
55,0,0,0
56,0.2042,0,0.5
57,0.105,0,0.3
58,0.2018,0,0.5
59,0.1994,0,0.5
60,0.0989999999999999,0,0.3
61,0,0,0
62,0.2072,0,0.6
63,0.0899999999999999,0,0.3
64,0.1036,0,0.3
65,0,0,0
66,0.2988,0,0.6
67,0.198,0,0.6
68,0.0947999999999999,0,0.3
69,0.1868,0,0.4
70,0.0899999999999999,0,0.3
71,0,0,0
72,0.195,0,0.5
73,0.0899999999999999,0,0.3
74,0,0,0
75,0.0899999999999999,0,0.3
76,0.0899999999999999,0,0.3
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
