"mle_estim","param","p_detect","lower_95","upper_95","lower_90","upper_90","lower_50","upper_50"
0.955342225093703,"R",0.05,0.93,0.98,0.93,0.98,0.95,0.96
10,"k",0.05,0.318,10,0.511,10,2.838,10
0.93581440125331,"R",0.1,0.89,0.98,0.9,0.97,0.92,0.95
10,"k",0.1,0.429,10,0.661,10,3.341,10
0.895869932969366,"R",0.25,0.83,0.96,0.84,0.95,0.88,0.92
10,"k",0.25,0.611,10,0.899,10,3.978,10
0.849721575307124,"R",0.5,0.76,0.95,0.77,0.93,0.82,0.88
10,"k",0.5,0.763,10,1.088,10,4.374,10
