Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.698,1.4,2
2,0.6078,0,1.3
3,0.0967999999999999,0,0.3
4,0.0989999999999999,0,0.3
5,0.2948,0,0.8
6,0.1868,0,0.4
7,0.0967999999999999,0,0.3
8,0.297,0,0.9
9,0.2022,0,0.5
10,0.1958,0,0.5
11,0.2926,0,0.7
12,0.2926,0,0.7
13,0.0991999999999999,0,0.3
14,0.303,0.1,0.6
15,0.2994,0,0.6
16,0.204,0,0.5
17,0,0,0
18,0,0,0
19,0.3078,0.1,0.6
20,0.309,0,0.7
21,0.3112,0.1,0.6
22,0.0991999999999999,0,0.3
23,0.3996,0.1,0.7
24,0.0991999999999999,0,0.3
25,0.0899999999999999,0,0.3
26,0.6968,0.2,1.2
27,0.6906,0.1,1.3
28,0.4048,0.1,0.7
29,0.0947999999999999,0,0.3
30,0.0989999999999999,0,0.3
31,0.4018,0.1,0.7
32,0.2002,0,0.5
33,0.302,0,0.8
34,0.5942,0.2,1
35,0.4194,0.1,0.9
36,0.6116,0.2,1.1
37,0.2882,0,0.6
38,0.299,0.1,0.6
39,0.2944,0,0.6
40,0.6084,0.2,1
41,0.3094,0,0.6
42,0.209,0,0.5
43,0.0991999999999999,0,0.3
44,0.2108,0,0.6
45,0,0,0
46,0,0,0
47,0,0,0
48,0.1026,0,0.3
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0.1054,0,0.3
55,0,0,0
56,0.402,0.1,0.7
57,0,0,0
58,0.301,0,0.6
59,0.2886,0,0.7
60,0.4108,0.1,0.7
61,0.3122,0,0.8
62,0.3952,0.1,0.7
63,0.4134,0,1.1
64,0.1026,0,0.3
65,0.1036,0,0.3
66,0.3032,0,0.6
67,0.2028,0,0.5
68,0.1036,0,0.3
69,0.0991999999999999,0,0.3
70,0.1998,0,0.4
71,0,0,0
72,0,0,0
73,0,0,0
74,0.1036,0,0.3
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0.0947999999999999,0,0.3
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
