"mle_estim","param","p_detect","lower_95","upper_95","lower_90","upper_90","lower_50","upper_50"
0.910269172319872,"R",0.05,0.86,0.96,0.87,0.95,0.9,0.92
10,"k",0.05,0.127,10,0.228,10,1.295,10
0.872316842095811,"R",0.1,0.8,0.94,0.82,0.93,0.85,0.89
10,"k",0.1,0.136,10,0.228,10,1.254,10
0.79742636239508,"R",0.25,0.7,0.9,0.71,0.88,0.77,0.83
10,"k",0.25,0.163,10,0.245,10,1.147,10
0.71578956594554,"R",0.5,0.59,0.85,0.61,0.83,0.67,0.76
10,"k",0.5,0.193,10,0.271,10,1.042,10
