"mle_estim","param","p_detect","lower_95","upper_95","lower_90","upper_90","lower_50","upper_50"
0.938201388435796,"R",0.05,0.91,0.96,0.92,0.96,0.93,0.94
10,"k",0.05,0.456,10,0.669,10,2.858,10
0.911588976953395,"R",0.1,0.88,0.95,0.88,0.94,0.9,0.92
10,"k",0.1,0.516,10,0.746,10,3.132,10
0.857950628806205,"R",0.25,0.8,0.91,0.81,0.9,0.84,0.87
10,"k",0.25,0.61,10,0.856,10,3.413,10
0.797357888278381,"R",0.5,0.72,0.88,0.73,0.86,0.77,0.82
10,"k",0.5,0.683,10,0.933,10,3.5,10
