"mle_estim","param","p_detect","lower_95","upper_95","lower_90","upper_90","lower_50","upper_50"
0.949833848240152,"R",0.05,0.92,0.98,0.93,0.97,0.94,0.96
10,"k",0.05,0.324,10,0.515,10,2.76,10
0.92805519193124,"R",0.1,0.88,0.97,0.89,0.96,0.92,0.94
10,"k",0.1,0.42,10,0.644,10,3.209,10
0.883784122442288,"R",0.25,0.82,0.95,0.83,0.94,0.86,0.9
10,"k",0.25,0.576,10,0.846,10,3.778,10
0.833080522542505,"R",0.5,0.74,0.93,0.76,0.91,0.8,0.86
10,"k",0.5,0.706,10,1.007,10,4.132,10
