Week,Mean,LowerBound,UpperBound
0,0,0,0
1,97.0302,90.7,104.3
2,98.2324,94.6,102.3
3,97.4366,93.2,100.8
4,91.9664,89.5,94.6
5,94.5704,90.8,98.6
6,89.6188,84.2,95.2
7,93.3302,87.6,98.7
8,92.4326,87.6,96.7
9,91.5266,86,97.3
10,98.981,91.1,106.9
11,92.584,86.9,99.2
12,98.703,91.1,106.1
13,96.0646,90.7,101.9
14,95.7808,89.8,100.9
15,95.1024,86.6,102.6
16,95.6684,90.5,100.3
17,89.1286,82.4,96.3
18,92.7214,87.8,97.6
19,95.5116,89.8,102.3
20,94.1488,88.4,101.4
21,91.73,87,96.8
22,94.8198,88,99.8
23,93.8158,86.2,102.3
24,91.7212,85,98.9
25,86.9784,82.9,90.9
26,87.7324,83,92.1
27,94.3624,89,100.2
28,96.1732,89.2,103.3
29,90.0836,87.3,93
30,95.1556,90,99.6
31,87.5176,80.5,94.6
32,86.2134,78.4,93.9
33,92.0724,87.8,96.2
34,96.8536,91.2,102.1
35,96.1224,92,100.2
36,92.6982,87.7,97.8
37,87.7458,81.7,94.5
38,88.431,81.7,94.9
39,90.44,85.8,95.3
40,89.8578,84.8,95
41,91.8038,88.8,95.3
42,94.0338,88.8,98.9
43,87.402,80.7,93.8
44,92.4636,86.4,98.7
45,91.782,87.1,97.1
46,86.5996,82.7,90.8
47,92.126,86.4,97.4
48,95.934,90.6,100.4
49,98.7756,95,102.8
50,95.5566,91.1,100.7
51,98.3368,93,104.6
52,89.7622,83.7,95.5
53,94.325,88.5,101.5
54,92.8056,90,96
55,89.253,82.7,96.4
56,89.577,85,95.4
57,89.3392,82.1,96.7
58,91.3134,87.7,94.9
59,93.3856,86.4,101.3
60,89.012,83.5,93.7
61,93.0716,88.2,97.8
62,93.6574,88.2,98.4
63,91.398,85.1,97.3
64,95.7398,92.2,99.3
65,85.7094,78.8,91.9
66,92.1028,84.3,98.8
67,88.5466,81.2,96.2
68,85.9934,81.6,90.6
69,90.6048,84.5,95.9
70,84.6348,78.9,90.4
71,87.1986,83.1,91.2
72,91.8158,87.6,95.7
73,93.5354,89.4,98
74,91.7262,86.3,97.4
75,96.4038,91.7,101
76,87.7348,82.6,92.7
77,92.1262,86.2,99.8
78,88.509,83.2,95
79,87.0056,83.2,91.8
80,89.534,83.2,96.5
81,87.6218,82,92.9
82,90.3774,82.7,96.2
83,87.863,81.3,93.7
84,93.1374,89.7,96.9
85,85.2146,80.9,89.4
