Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.8006,0.5,1
2,0.5052,0.2,1
3,1.2636,0.5,2
4,1.0282,0.4,1.7
5,1.1124,0.6,1.6
6,1.7192,1,2.5
7,1.5172,0.6,2.6
8,2.1942,1.4,3.2
9,1.5794,0.9,2.3
10,1.0848,0.5,1.7
11,1.5024,0.8,2.4
12,0.978,0.4,1.6
13,2.2804,1.2,3.5
14,1.1166,0.6,1.7
15,2.1328,1,3.3
16,1.8784,1.2,2.7
17,1.2904,0.8,1.9
18,1.9302,1.1,2.9
19,1.7948,1,2.7
20,1.8718,0.8,2.9
21,1.2108,0.4,2.2
22,1.3056,0.5,2.3
23,2.2052,1.5,2.9
24,1.583,1,2.2
25,1.7966,1.2,2.4
26,1.181,0.7,1.7
27,0.7084,0.3,1.2
28,1.7778,1.1,2.6
29,1.4812,0.6,2.9
30,0.4912,0.1,1
31,1.3644,0.7,2.1
32,1.961,1.1,2.7
33,1.0096,0.4,1.7
34,1.2886,1,1.7
35,1.2042,0.6,1.9
36,1.2078,0.7,1.9
37,1.5728,0.6,2.5
38,0.972,0.4,1.7
39,1.2978,0.8,1.7
40,1.4002,0.9,2
41,2.0476,1.1,3.1
42,1.6486,0.8,2.5
43,1.8198,0.9,2.8
44,0.8086,0.5,1.2
45,0.3828,0,0.8
46,1.0612,0.5,1.8
47,1.0076,0.5,1.5
48,1.5002,0.7,2.2
49,1.769,1.1,2.4
50,1.305,0.6,1.9
51,1.2906,0.6,2.1
52,1.3982,1,1.8
53,2.0886,1.4,2.7
54,1.9512,1,2.9
55,1.6862,1,2.4
56,0.8816,0.4,1.4
57,1.896,1,2.9
58,1.8592,1,2.7
59,1.9058,1.4,2.5
60,1.5042,0.7,2.6
61,1.0922,0.6,1.7
62,1.3044,0.6,2.2
63,0.9024,0.5,1.4
64,1.702,0.9,2.5
65,1.1998,0.8,1.7
66,1.0954,0.6,1.6
67,1.8186,1.2,2.4
68,1.3204,0.5,2.5
69,1.0092,0.6,1.4
70,1.1006,0.4,1.8
71,2.8374,1.6,4.2
72,1.4752,0.6,2.6
73,1.1666,0.4,1.9
74,1.7278,0.8,2.7
75,1.4916,0.9,2
76,1.5274,0.8,2.2
77,1.6754,0.9,2.4
78,0.6116,0.1,1.2
79,2.1936,1.5,3
80,1.7934,1.1,2.5
81,1.5358,0.6,2.4
82,1.8214,1,2.6
83,1.114,0.4,2.1
84,1.5986,0.8,2.4
85,1.3158,0.9,1.8
